Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
VILLA DE VALLECAS,40.34915,-3.6292232,URBANISMO,"12796275,31",2023,Casco Histórico de Vallecas,446564.0767522298,4466700.600693996
HORTALEZA,40.47025,-3.62537866,URBANISMO,"3406565,4",2023,Valdefuentes,446985.6849587315,4480140.285583562
VILLAVERDE,40.36002,-3.71601781,URBANISMO,"8169078,36",2023,"Villaverde Alto, Casco Histórico de Villaverde",439202.8674935084,4467963.180551877
USERA,40.36457,-3.71745381,URBANISMO,"3819115,54",2023,Orcasitas,439085.0314064832,4468469.212034925
FUENCARRAL-EL PARDO,40.48344,-3.7371622,URBANISMO,"2716564,81",2023,Fuentelarreina,437521.77297580737,4481677.522589978
CIUDAD LINEAL,40.4156699,-3.62947201,URBANISMO,"8850563,39",2023,Ventas,446595.50482467085,4474084.370973098
FUENCARRAL-EL PARDO,40.51908,-3.667892,URBANISMO,"4700929,97",2023,El Goloso,443422.7693814446,4485586.861786297
BARAJAS,40.45987,-3.59238,URBANISMO,"1499253,84",2023,Alameda de Osuna,449775.31747666496,4478968.808980931
LATINA,40.37554,-3.7713808,URBANISMO,"1909212,94",2023,Águilas,434516.9694026163,4469725.400762668
MONCLOA-ARAVACA,40.452722,-3.791872,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",1500000,2023,Aravaca,432854.2079052682,4478307.968374667
MORATALAZ,40.414187,-3.649254,URBANISMO,"1320766,33",2023,Marroquina,444915.97724742116,4473931.912650114
HORTALEZA,40.497327,-3.615194,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",1800000,2023,Valdefuentes,447870.0119955694,4483139.780447497
VICÁLVARO,40.3732,-3.5599462,MEDIO AMBIENTE,"5298198,52",2023,Casco Histórico de Vicálvaro,452464.25995672995,4469330.573145452
MONCLOA-ARAVACA,40.423433,-3.758581,MEDIO AMBIENTE,"4009800,27",2023,Casa de Campo,435649.1826961711,4475032.100337124
