Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
FUENCARRAL-EL PARDO,40.5070759,-3.7077138,MEDIO AMBIENTE,"1022000,00",2024,El Goloso,440038.74002415955,4484280.700425177
SAN BLAS-CANILLEJAS,40.4439911,-3.5718752,MEDIO AMBIENTE,"1020000,00",2024,Rejas,451502.40309370065,4477194.791933404
SAN BLAS-CANILLEJAS,40.4423525,-3.6107376,MEDIO AMBIENTE,"1030000,00",2024,Canillejas,448205.4191246752,4477034.972708861
BARAJAS,40.4708223,-3.5777749,MEDIO AMBIENTE,"1650000,00",2024,Aeropuerto,451021.5677679917,4480176.309342846
VILLA DE VALLECAS,40.3492529,-3.6694496,MEDIO AMBIENTE,"3300000,00",2024,Casco Histórico de Vallecas,443147.96621844906,4466737.089894603
FUENCARRAL-EL PARDO,40.5237273,-3.7805961,MEDIO AMBIENTE,"1640000,00",2024,El Pardo,433880.0683636425,4486181.132092475
VICÁLVARO,40.37320354825461,-3.559946239932372,MEDIO AMBIENTE,"5109768,77",2024,Casco Histórico de Vicálvaro,452464.25906007807,4469330.967017002
MONCLOA-ARAVACA,40.423433,-3.758581,MEDIO AMBIENTE,"3965173,53",2024,Casa de Campo,435649.1826961711,4475032.100337124
RETIRO,40.419683887311045,-3.687996938411679,MEDIO AMBIENTE,"1978045,00",2024,Los Jerónimos,441633.6735511834,4474566.934156748
VILLA DE VALLECAS,40.336444,-3.577083,MEDIO AMBIENTE,"37223550,27",2024,Casco Histórico de Vallecas,450982.8418714711,4465260.082937777
BARAJAS,40.4517812278232,-3.535458209657427,MEDIO AMBIENTE,"67132581,91",2024,Aeropuerto,454595.98589535087,4478040.132834251
BARAJAS,40.4944431,-3.5501484,MEDIO AMBIENTE,"59797391,33",2024,Aeropuerto,453379.8444638532,4482783.2632951
VILLAVERDE,40.334267204235616,-3.663788802897855,MEDIO AMBIENTE,"2898729,94",2024,Butarque,443616.2293025152,4465070.085947744
VILLA DE VALLECAS,40.33552477,-3.58243889,MEDIO AMBIENTE,"6502948,00",2024,Casco Histórico de Vallecas,450527.2411601053,4465161.03030259
CARABANCHEL,40.376885,-3.753343,MEDIO AMBIENTE,"2517631,72",2024,Buenavista,436049.49651254714,4469861.495186264
VILLA DE VALLECAS,40.38177,-3.618715,URBANISMO,"2853210,00",2024,Casco Histórico de Vallecas,447481.80108930357,4470315.072927602
MORATALAZ,40.40331,-3.63825,URBANISMO,"1009339,00",2024,Vinateros,445840.86652790016,4472717.773595863
CENTRO,40.41427144280748,-3.703664017789517,URBANISMO,"7520000,00",2024,Cortes,440299.7598435573,4473976.6215005405
CARABANCHEL,40.388412173929744,-3.71464426441805,URBANISMO,"9735214,00",2024,Comillas,439344.9607036693,4471113.735443952
SALAMANCA,40.42395344667449,-3.673366465721023,URBANISMO,"2971000,00",2024,Goya,442878.4729122,4475031.292258181
CENTRO,40.42044811757175,-3.7140053644180497,URBANISMO,"7590745,00",2024,Palacio,439427.9120742295,4474669.2676687585
