Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM,anyo_timestamp
CENTRO,40.411993428490256,-3.696014243112221,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",26180683.51,2020,Cortes,440946.79553296906,4473718.623317758,2020-01-01
PUENTE DE VALLECAS,40.4040032,-3.6596165,URBANISMO,5160696.29,2020,Numancia,444028.3592071529,4472808.028842717,2020-01-01
CENTRO,40.4113817,-3.7109359,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",10585938.71,2020,Palacio,439680.2135945678,4473660.79932744,2020-01-01
USERA,40.37754434245922,-3.715659804601842,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",5170698.8,2020,Zofío,439249.0038058909,4469908.114245272,2020-01-01
VILLA DE VALLECAS,40.3624877,-3.5997148,PROTECCIÓN Y PROMOCIÓN SOCIAL,5900075.86,2020,Ensanche de Vallecas,449080.08730323246,4468163.658517834,2020-01-01
VILLAVERDE,40.3403167,-3.6832757,INFRAESTRUCTURAS,3859359.84,2020,Butarque,441966.1375690746,4465754.162806726,2020-01-01
VILLA DE VALLECAS,40.3687473,-3.6318531,MEDIO AMBIENTE,17744782.5,2020,Casco Histórico de Vallecas,446356.2696571534,4468877.457620071,2020-01-01
ARGANZUELA,40.389342,-3.6906507,PROTECCIÓN Y PROMOCIÓN SOCIAL,2679921.37,2020,Legazpi,441382.22379196703,4471200.762025337,2020-01-01
RETIRO,40.4009974,-3.6784228,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,5279030.26,2020,Pacífico,442429.9813697228,4472486.465807339,2020-01-01
CHAMBERÍ,40.4385953,-3.7083185,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",2869875.42,2020,Arapiles,439926.50696430326,4476679.719271531,2020-01-01
CARABANCHEL,40.3878601,-3.7395651,PROTECCIÓN Y PROMOCIÓN SOCIAL,3658956.91,2020,Vista Alegre,437229.2871478165,4471069.849441911,2020-01-01
MORATALAZ,40.41143,-3.63045,MEDIO AMBIENTE,10407893.0,2020,Marroquina,446509.1741170536,4473614.33669596,2020-01-01
VILLAVERDE,40.3512974,-3.6816647,CULTURA,4694880.0,2020,Butarque,442112.3568372549,4466971.945180067,2020-01-01
SAN BLAS-CANILLEJAS,40.4263129,-3.6220081,PROTECCIÓN Y PROMOCIÓN SOCIAL,3067650.18,2020,Amposta,447237.064114142,4475261.253409307,2020-01-01
PUENTE DE VALLECAS,40.382868,-3.6539887,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",2025994.23,2020,Palomeras Bajas,444488.5549819569,4470458.495163604,2020-01-01
CIUDAD LINEAL,40.440897645215856,-3.6518546975119777,PROTECCIÓN Y PROMOCIÓN SOCIAL,7111504.2,2020,San Pascual,444717.2025408641,4476898.407892818,2020-01-01
SAN BLAS-CANILLEJAS,40.448555,-3.6491725,EDUCACIÓN,2232232.13,2020,San Pascual,444950.92473513033,4477746.698296228,2020-01-01
VILLA DE VALLECAS,40.33576194790312,-3.583661991848277,MEDIO AMBIENTE,8066478.0,2020,Casco Histórico de Vallecas,450423.5230495748,4465188.040806336,2020-01-01
VILLA DE VALLECAS,40.33413548479177,-3.5882613083947943,MEDIO AMBIENTE,4306970.81,2020,Casco Histórico de Vallecas,450031.653298217,4465010.093423991,2020-01-01
PUENTE DE VALLECAS,40.3886611,-3.6658291,PROTECCIÓN Y PROMOCIÓN SOCIAL,2072095.98,2020,San Diego,443488.360449844,4471109.022709831,2020-01-01
