Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM,anyo_timestamp
PUENTE DE VALLECAS,40.3886611,-3.6658291,PROTECCIÓN Y PROMOCIÓN SOCIAL,3172960.81,2021,San Diego,443488.360449844,4471109.022709831,2021-01-01
PUENTE DE VALLECAS,40.386498,-3.6663675,VIVIENDA,9889517.53,2021,San Diego,443440.8544368684,4470869.265253049,2021-01-01
PUENTE DE VALLECAS,40.3850508,-3.6668926,VIVIENDA,10087069.21,2021,San Diego,443395.073783741,4470708.963710796,2021-01-01
PUENTE DE VALLECAS,40.3864054,-3.6671987,VIVIENDA,7640815.83,2021,San Diego,443370.2267607172,4470859.518760772,2021-01-01
PUENTE DE VALLECAS,40.3851781,-3.6680348,VIVIENDA,21112970.62,2021,San Diego,443298.2314551301,4470723.825661793,2021-01-01
FUENCARRAL-EL PARDO,40.5051,-3.6695,"TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO",99400000.0,2021,Valverde,443274.7747724174,4484036.09693728,2021-01-01
CHAMARTÍN,40.4829999,-3.6774787,CULTURA,1400000.0,2021,Castilla,442579.9158014972,4481588.126231595,2021-01-01
RETIRO,40.4009974,-3.6784228,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,5054912.26,2021,Pacífico,442429.9813697228,4472486.465807339,2021-01-01
VILLA DE VALLECAS,40.3693114835271,-3.63322755472413,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,2800000.0,2021,Casco Histórico de Vallecas,446240.027279954,4468940.915543808,2021-01-01
RETIRO,40.4120652,-3.6793009,MEDIO AMBIENTE,1120367.1,2021,Los Jerónimos,442364.90826196,4473715.55612176,2021-01-01
FUENCARRAL-EL PARDO - CHAMARTÍN,40.4833757449582,-3.6813940831152703,INFRAESTRUCTURAS,58483881.52,2021,Valverde,442248.3849690551,4481632.400279623,2021-01-01
VILLAVERDE,40.3512974,-3.6816647,CULTURA,4024755.88,2021,Butarque,442112.3568372549,4466971.945180067,2021-01-01
VILLAVERDE,40.3403167,-3.6832757,INFRAESTRUCTURAS,3859359.84,2021,Butarque,441966.1375690746,4465754.162806726,2021-01-01
RETIRO,40.4042354,-3.6858061,PROTECCIÓN Y PROMOCIÓN SOCIAL,3900000.0,2021,Pacífico,441806.22846912144,4472850.716079466,2021-01-01
SALAMANCA,40.4273605,-3.6858071,INVERSIONES DE CARÁCTER GENERAL,2167820.88,2021,Recoletos,441826.06414396135,4475417.591302797,2021-01-01
ARGANZUELA,40.389342,-3.6906507,PROTECCIÓN Y PROMOCIÓN SOCIAL,7065565.65,2021,Legazpi,441382.22379196703,4471200.762025337,2021-01-01
RETIRO,40.40977672,-3.69196592,URBANISMO,1000000.0,2021,Los Jerónimos,441288.3510123708,4473469.872705637,2021-01-01
SALAMANCA,40.4246814178843,-3.68998776472056,CULTURA,5367550.51,2021,Recoletos,441469.1119915724,4475122.975151593,2021-01-01
SALAMANCA,40.4248141087683,-3.6898788242989102,CULTURA,1644335.0,2021,Recoletos,441478.4683605191,4475137.631634723,2021-01-01
SALAMANCA,40.4251698290035,-3.6898922220339294,CULTURA,1331903.914,2021,Recoletos,441477.6401492965,4475177.125345135,2021-01-01
USERA,40.3711334,-3.6954568,CULTURA,4028298.49,2021,Orcasur,440958.4168031349,4469182.825503132,2021-01-01
ARGANZUELA,40.391065,-3.6976967,INVERSIONES DE CARÁCTER GENERAL,3498658.0,2021,Chopera,440785.71119648026,4471396.708500956,2021-01-01
FUENCARRAL-EL PARDO,40.5055069,-3.6980938,CULTURA,5030819.28,2021,El Goloso,440852.42542399466,4484100.044218374,2021-01-01
CENTRO,40.4119934284902,-3.69601424311222,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",20021169.49,2021,Cortes,440946.795532969,4473718.623317752,2021-01-01
VILLAVERDE,40.35706418,-3.70204189,URBANISMO,12573448.0,2021,Ángeles,440386.97042960353,4467625.578465321,2021-01-01
CENTRO,40.4148623,-3.7023538,CULTURA,3251658.339,2021,Cortes,440411.4434476704,4474041.322076041,2021-01-01
CENTRO,40.41691713,-3.70355008,URBANISMO,15178772.0,2021,Sol,440311.7646490144,4474270.214661967,2021-01-01
USERA,40.371319,-3.703703,MEDIO AMBIENTE,1530972.0,2021,Pradolongo,440258.50462117785,4469208.963933444,2021-01-01
VILLAVERDE,40.3545193,-3.7050987,VIVIENDA,17817208.68,2021,Ángeles,440125.1519029887,4467345.16485947,2021-01-01
FUENCARRAL-EL PARDO,40.5039493416154,-3.67822769913852,CULTURA,5230819.28,2021,Valverde,442534.3090217447,4483914.02173701,2021-01-01
FUENCARRAL-EL PARDO,40.4945339419718,-3.70639528504153,PROTECCIÓN Y PROMOCIÓN SOCIAL,4050000.0,2021,Mirasierra,440139.30462039536,4482887.632639932,2021-01-01
CENTRO,40.42121849,-3.70663669,INFRAESTRUCTURAS,3930789.81,2021,Universidad,440053.7168077251,4474749.753529591,2021-01-01
TETUÁN,40.46591,-3.708061,EDUCACIÓN,3100000.0,2021,Valdeacederas,439972.6575454326,4479711.483449205,2021-01-01
CHAMBERÍ,40.4385953,-3.7083185,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",5660677.42,2021,Arapiles,439926.50696430326,4476679.719271531,2021-01-01
USERA,40.3922859,-3.7089303,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,1489015.0,2021,Comillas,439833.38196510193,4471539.811482483,2021-01-01
ARGANZUELA,40.4059554,-3.7102481,MEDIO AMBIENTE,1530972.0,2021,Acacias,439733.7306433511,4473058.013747105,2021-01-01
CENTRO,40.4113817,-3.7109359,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",13643471.98,2021,Palacio,439680.2135945678,4473660.79932744,2021-01-01
MONCLOA-ARAVACA - CENTRO,40.42178207,-3.71204071,URBANISMO,71608927.87,2021,Palacio,439595.776577099,4474815.991054545,2021-01-01
CENTRO,40.4120708,-3.7132821,CULTURA,3630000.0,2021,Palacio,439481.7645163461,4473738.893090663,2021-01-01
USERA,40.3775443424592,-3.71565980460184,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",6228103.65,2021,Zofío,439249.00380589085,4469908.11424527,2021-01-01
VILLAVERDE,40.36002547,-3.71601781,URBANISMO,2446340.0,2021,"Villaverde Alto, Casco Histórico de Villaverde",439202.8724074239,4467963.787713999,2021-01-01
USERA,40.36457818,-3.71745381,URBANISMO,1400000.0,2021,Orcasitas,439085.0387703313,4468470.120003895,2021-01-01
MONCLOA-ARAVACA,40.4583621,-3.7176174,INVERSIONES DE CARÁCTER GENERAL,3850000.0,2021,Ciudad Universitaria,439155.6770704879,4478880.204747611,2021-01-01
ARGANZUELA,40.40091796,-3.72018992,INFRAESTRUCTURAS,60207466.0,2021,Imperial,438885.5802317771,4472505.687171517,2021-01-01
MONCLOA-ARAVACA,40.4191125,-3.7256439,CULTURA,1789147.49,2021,Casa de Campo,438439.3400638858,4474529.057840594,2021-01-01
CARABANCHEL,40.4006829,-3.7272645,MEDIO AMBIENTE,3684983.99,2021,San Isidro,438285.0203208308,4472484.510845989,2021-01-01
MONCLOA-ARAVACA,40.4358,-3.7362,"TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO",1200009.0,2021,Ciudad Universitaria,437559.2309777142,4476388.776689377,2021-01-01
CARABANCHEL,40.3878601,-3.7395651,PROTECCIÓN Y PROMOCIÓN SOCIAL,5696469.67,2021,Vista Alegre,437229.2871478165,4471069.849441911,2021-01-01
MONCLOA-ARAVACA,40.4144657,-3.7401438,INVERSIONES DE CARÁCTER GENERAL,2703188.77,2021,Casa de Campo,437204.8967798851,4474023.46701827,2021-01-01
MONCLOA-ARAVACA,40.4144658,-3.7401438,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",3257150.15,2021,Casa de Campo,437204.896872851,4474023.478118239,2021-01-01
MONCLOA-ARAVACA,40.4144659,-3.7401438,INVERSIONES DE CARÁCTER GENERAL,1640902.97,2021,Casa de Campo,437204.8969658169,4474023.489218208,2021-01-01
MONCLOA-ARAVACA,40.414466,-3.7401438,SECTORES PRODUCTIVOS,1972914.29,2021,Casa de Campo,437204.8970587828,4474023.500318177,2021-01-01
MONCLOA-ARAVACA,40.4144661,-3.7401438,INVERSIONES DE CARÁCTER GENERAL,520000.0,2021,Casa de Campo,437204.8971517487,4474023.511418145,2021-01-01
MONCLOA-ARAVACA,40.4144662,-3.7401438,CULTURA,1681561.36,2021,Casa de Campo,437204.8972447146,4474023.522518114,2021-01-01
MONCLOA-ARAVACA,40.4126577,-3.7442902,CULTURA,1310000.0,2021,Casa de Campo,436851.4155045367,4473825.734204117,2021-01-01
LATINA,40.4011395,-3.7451803,EDUCACIÓN,4350000.0,2021,Lucero,436765.115951597,4472547.855426472,2021-01-01
CARABANCHEL,40.376885,-3.753343,MEDIO AMBIENTE,2139994.0,2021,Buenavista,436049.4965125472,4469861.495186264,2021-01-01
CARABANCHEL,40.3616093,-3.7560156,CULTURA,4562488.68,2021,Buenavista,435808.1279287273,4468167.84533169,2021-01-01
CARABANCHEL,40.3616419796793,-3.7536981585771114,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,5417348.13,2021,Buenavista,436004.93031144416,4468169.793766155,2021-01-01
CARABANCHEL,40.3624493,-3.7622598,VIVIENDA,21076560.71,2021,Buenavista,435278.7428614527,4468265.63384696,2021-01-01
MONCLOA-ARAVACA,40.44463434,-3.77885365,URBANISMO,1661959.0,2021,Aravaca,433950.1758850191,4477400.416097125,2021-01-01
LATINA,40.3836378,-3.7856891,INFRAESTRUCTURAS,1853296.9,2021,Campamento,433310.30173444,4470634.94255887,2021-01-01
CIUDAD LINEAL,40.4408976452158,-3.6518546975119697,PROTECCIÓN Y PROMOCIÓN SOCIAL,7500322.84,2021,San Pascual,444717.2025408662,4476898.407892811,2021-01-01
VICÁLVARO,40.3805855535856,-3.56659396949492,MEDIO AMBIENTE,27487911.64,2021,Casco Histórico de Vicálvaro,451905.1570344737,4470153.951408865,2021-01-01
VILLA DE VALLECAS,40.3616249,-3.664242,SECTORES PRODUCTIVOS,8262129.28,2021,Casco Histórico de Vallecas,443600.5268350453,4468107.027866349,2021-01-01
VILLA DE VALLECAS,40.3585575,-3.6675801,SECTORES PRODUCTIVOS,17007390.94,2021,Casco Histórico de Vallecas,443314.5241448725,4467768.684876375,2021-01-01
VILLA DE VALLECAS,40.3655779875729,-3.66806946506216,SECTORES PRODUCTIVOS,25869477.86,2021,Entrevías,443278.8555770197,4468548.261523016,2021-01-01
VILLAVERDE,40.3589888867647,-3.70267710398356,MEDIO AMBIENTE,1046872.9,2021,Ángeles,440334.7283180762,4467839.646156935,2021-01-01
VICÁLVARO,40.377746,-3.563952,MEDIO AMBIENTE,889022.22,2021,Casco Histórico de Vicálvaro,452127.4096501516,4469837.332071369,2021-01-01
RETIRO,40.4195,-3.687472,MEDIO AMBIENTE,935432.69,2021,Los Jerónimos,441678.04832537327,4474546.176135547,2021-01-01
FUENCARRAL-EL PARDO,40.4955385265232,-3.72523580289199,INFRAESTRUCTURAS,1214379.74,2021,Mirasierra,438543.6421592121,4483012.096199184,2021-01-01
HORTALEZA,40.4850740456912,-3.66621437705966,INFRAESTRUCTURAS,1189474.43,2021,Valdefuentes,443536.3747861295,4481811.089532025,2021-01-01
PUENTE DE VALLECAS,40.375811,-3.66864,PROTECCIÓN Y PROMOCIÓN SOCIAL,2488920.37,2021,Entrevías,443239.0013273176,4469684.47736475,2021-01-01
ARGANZUELA,40.391115,-3.695416,INVERSIONES DE CARÁCTER GENERAL,6172126.67,2021,Chopera,440979.3219209084,4471400.733480478,2021-01-01
MONCLOA-ARAVACA,40.45883,-3.785569,CULTURA,5900370.99,2021,Aravaca,433394.700321593,4478981.186548976,2021-01-01
VILLAVERDE,40.33064,-3.715899,SECTORES PRODUCTIVOS,6781660.52,2021,"Villaverde Alto, Casco Histórico de Villaverde",439186.5749504493,4464701.969427144,2021-01-01
LATINA,40.381304,-3.764865,PROTECCIÓN Y PROMOCIÓN SOCIAL,3866509.87,2021,Águilas,435075.6388207017,4470360.3956111,2021-01-01
MORATALAZ,40.412007,-3.658037,EDUCACIÓN,4915770.56,2021,Media Legua,444169.0027448094,4473695.445666098,2021-01-01
HORTALEZA,40.469013,-3.641922,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,4683995.15,2021,Canillas,445582.27272590937,4480013.045158603,2021-01-01
MONCLOA-ARAVACA,40.429685,-3.729507,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,2376969.94,2021,Casa de Campo,438121.2971493496,4475705.302084713,2021-01-01
VICÁLVARO,40.392178,-3.58983,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,7279697.11,2021,Casco Histórico de Vicálvaro,449941.3585450317,4471453.592733928,2021-01-01
SAN BLAS-CANILLEJAS,40.4461895139518,-3.6197618193996095,INVERSIONES DE CARÁCTER GENERAL,3563311.51,2021,El Salvador,447443.089689652,4477466.211657198,2021-01-01
VICÁLVARO,40.4092757881965,-3.60327958940119,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",2995978.2,2021,Casco Histórico de Vicálvaro,448812.8422544808,4473359.130633231,2021-01-01
CENTRO,40.416764715664,-3.69968811823632,URBANISMO,1417607.85,2021,Cortes,440639.27693530126,4474250.695307754,2021-01-01
CENTRO,40.4083626676593,-3.70652906056588,EDUCACIÓN,2482030.95,2021,Embajadores,440051.4386951616,4473322.68988085,2021-01-01
PUENTE DE VALLECAS,40.3887019,-3.6555218,INVERSIONES DE CARÁCTER GENERAL,146174.51,2021,Palomeras Bajas,444363.2229936136,4471107.014705686,2021-01-01
MONCLOA-ARAVACA,40.4325727195707,-3.7370170635802,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",2151099.03,2021,Casa de Campo,437486.94234168506,4476031.126294103,2021-01-01
PUENTE DE VALLECAS,40.3886611,-3.6658291,PROTECCIÓN Y PROMOCIÓN SOCIAL,2921625.91,2022,San Diego,443488.360449844,4471109.022709831,2022-01-01
CARABANCHEL,40.4006829,-3.7272645,MEDIO AMBIENTE,3222990.54,2022,San Isidro,438285.0203208308,4472484.510845989,2022-01-01
SAN BLAS-CANILLEJAS,40.4263129,-3.6220081,PROTECCIÓN Y PROMOCIÓN SOCIAL,2955718.56,2022,Amposta,447237.064114142,4475261.253409307,2022-01-01
CHAMBERÍ,40.4385953,-3.7083185,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",4834596.5,2022,Arapiles,439926.50696430326,4476679.719271531,2022-01-01
RETIRO,40.4009974,-3.6784228,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,5286964.27,2022,Pacífico,442429.9813697228,4472486.465807339,2022-01-01
VILLAVERDE,40.3403167,-3.6832757,INFRAESTRUCTURAS,2905390.9,2022,Butarque,441966.1375690746,4465754.162806726,2022-01-01
VILLA DE VALLECAS,40.3624877,-3.5997148,PROTECCIÓN Y PROMOCIÓN SOCIAL,6584730.1,2022,Ensanche de Vallecas,449080.08730323246,4468163.658517834,2022-01-01
USERA,40.37754,-3.715659,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",6430756.47,2022,Zofío,439249.0682071247,4469907.631684414,2022-01-01
VICÁLVARO,40.37375,-3.5974301,MEDIO AMBIENTE,3271400.72,2022,Casco Histórico de Vicálvaro,449282.5181672588,4469412.441964316,2022-01-01
VICÁLVARO,40.386389,-3.575556,MEDIO AMBIENTE,14056315.63,2022,Casco Histórico de Vicálvaro,451148.61130450055,4470803.03778882,2022-01-01
USERA,40.3922859,-3.7089303,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,8089833.0,2022,Comillas,439833.38196510193,4471539.811482483,2022-01-01
CHAMBERÍ,40.44038,-3.7007173,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,3089913.85,2022,Ríos Rosas,440572.7522562765,4476872.67900567,2022-01-01
ARGANZUELA,40.39281,-3.689732,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,8522130.72,2022,Legazpi,441463.2004523609,4471585.098056981,2022-01-01
MONCLOA-ARAVACA,40.41176,-3.743862,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,1825000.0,2022,Casa de Campo,436886.9073419226,4473725.783923647,2022-01-01
USERA,40.3759435,-3.702718,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,1570000.0,2022,Pradolongo,440346.2061038054,4469721.612893976,2022-01-01
MONCLOA-ARAVACA,40.47745,-3.7513272,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,2000000.0,2022,Fuentelarreina,436315.5461720418,4481022.751851393,2022-01-01
FUENCARRAL-EL PARDO,40.48022,-3.6996125,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,1540000.0,2022,La Paz,440701.4924482893,4481294.192104542,2022-01-01
FUENCARRAL-EL PARDO,40.480208,-3.69961258,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,3300000.0,2022,La Paz,440701.4751082674,4481292.860148984,2022-01-01
BARAJAS,40.4547855,-3.6019412,CULTURA,6356545.99,2022,Alameda de Osuna,448960.8229785282,4478409.912315943,2022-01-01
CENTRO,40.4120708,-3.7132821,CULTURA,1617005.68,2022,Palacio,439481.7645163461,4473738.893090663,2022-01-01
MONCLOA-ARAVACA,40.4191125,-3.7256439,CULTURA,3229483.19,2022,Casa de Campo,438439.3400638858,4474529.057840594,2022-01-01
MONCLOA-ARAVACA,40.4126577,-3.7442902,CULTURA,754152.0,2022,Casa de Campo,436851.4155045367,4473825.734204117,2022-01-01
ARGANZUELA,40.3917614,-3.6963276,CULTURA,1760000.0,2022,Chopera,440902.5179470911,4471473.0922209,2022-01-01
CENTRO,40.42741,-3.7107288,CULTURA,1000000.0,2022,Universidad,439712.09530615446,4475439.793918645,2022-01-01
VILLA DE VALLECAS,40.3597278,-3.5890154,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",2986984.67,2022,Ensanche de Vallecas,449986.5056918785,4467851.211394976,2022-01-01
CARABANCHEL,40.37376,-3.73516,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",1490000.0,2022,Buenavista,437590.1631498181,4469501.634062247,2022-01-01
VICÁLVARO,40.3732,-3.5599462,MEDIO AMBIENTE,3809768.77,2022,Casco Histórico de Vicálvaro,452464.25995673,4469330.573145452,2022-01-01
RETIRO,40.419683,-3.6879969,MEDIO AMBIENTE,2021417.0,2022,Los Jerónimos,441633.676043016,4474566.835640219,2022-01-01
VILLA DE VALLECAS,40.336444,-3.577083,MEDIO AMBIENTE,31996088.66,2022,Casco Histórico de Vallecas,450982.8418714711,4465260.082937777,2022-01-01
VILLA DE VALLECAS,40.365205,-3.594149,MEDIO AMBIENTE,2190946.72,2022,Ensanche de Vallecas,449554.6904980285,4468462.085214351,2022-01-01
BARAJAS,40.451781,-3.535458,MEDIO AMBIENTE,71303403.72,2022,Aeropuerto,454596.0035199328,4478040.107438148,2022-01-01
BARAJAS,40.4944431,-3.5501484,MEDIO AMBIENTE,69938108.04,2022,Aeropuerto,453379.8444638532,4482783.2632951,2022-01-01
VICÁLVARO,40.38058,-3.5665939,MEDIO AMBIENTE,13912164.04,2022,Casco Histórico de Vicálvaro,451905.1589840757,4470153.334931835,2022-01-01
SAN BLAS-CANILLEJAS,40.434248,-3.612367,MEDIO AMBIENTE,747805.52,2022,Hellín,448060.9977728648,4476136.332686365,2022-01-01
VILLAVERDE,40.334267,-3.6637888,MEDIO AMBIENTE,3560441.94,2022,Butarque,443616.22937866906,4465070.063276178,2022-01-01
PUENTE DE VALLECAS,40.37549,-3.67140488,MEDIO AMBIENTE,1329245.9,2022,Entrevías,443004.0178157167,4469650.624917445,2022-01-01
FUENCARRAL-EL PARDO - CHAMARTÍN,40.4833757,-3.681394,INFRAESTRUCTURAS,49792763.99,2022,Valverde,442248.3919750176,4481632.395234834,2022-01-01
VILLAVERDE,40.35898,-3.702677,MEDIO AMBIENTE,2178016.9,2022,Ángeles,440334.7293131372,4467838.659669367,2022-01-01
VILLA DE VALLECAS,40.37834,-3.609308,MEDIO AMBIENTE,1385549.39,2022,Santa Eugenia,448277.6744424058,4469928.803730594,2022-01-01
VILLA DE VALLECAS,40.33552,-3.58243889,MEDIO AMBIENTE,4911311.0,2022,Casco Histórico de Vallecas,450527.2376762889,4465160.500843975,2022-01-01
VILLA DE VALLECAS,40.33756,-3.5755459,MEDIO AMBIENTE,5542301.0,2022,Casco Histórico de Vallecas,451114.20860304,4465383.106211089,2022-01-01
CARABANCHEL,40.376885,-3.753343,MEDIO AMBIENTE,1958583.57,2022,Buenavista,436049.4965125472,4469861.495186264,2022-01-01
ARGANZUELA,40.4059554,-3.7102481,MEDIO AMBIENTE,1240971.99,2022,Acacias,439733.7306433511,4473058.013747105,2022-01-01
USERA,40.371319,-3.703703,MEDIO AMBIENTE,1430971.99,2022,Pradolongo,440258.50462117785,4469208.963933444,2022-01-01
CHAMARTÍN - TETUÁN,40.44689,-3.690457,INFRAESTRUCTURAS,7417883.8,2022,El Viso,441448.57568039687,4477588.436459652,2022-01-01
HORTALEZA,40.492845,-3.6524736,MEDIO AMBIENTE,1115892.08,2022,Valdefuentes,444707.33241275215,4482664.970036119,2022-01-01
PUENTE DE VALLECAS,40.403848,-3.6645764,MEDIO AMBIENTE,1265781.64,2022,Numancia,443607.35520695685,4472793.954315169,2022-01-01
VICÁLVARO,40.3772222,-3.579722,URBANISMO,18837400.83,2022,Casco Histórico de Vicálvaro,450788.3421118225,4469787.846765074,2022-01-01
VICÁLVARO,40.3879964,-3.56225647,URBANISMO,13940687.14,2022,Casco Histórico de Vicálvaro,452278.5741831341,4470974.194194199,2022-01-01
VILLA DE VALLECAS,40.34915,-3.6292232,URBANISMO,8733966.27,2022,Casco Histórico de Vallecas,446564.0767522298,4466700.600693996,2022-01-01
HORTALEZA,40.47025,-3.62537866,URBANISMO,3406565.4,2022,Valdefuentes,446985.6849587315,4480140.285583562,2022-01-01
MONCLOA-ARAVACA,40.44463,-3.77885365,URBANISMO,2948674.54,2022,Aravaca,433950.1716366029,4477399.934355308,2022-01-01
VILLAVERDE,40.36002,-3.71601781,URBANISMO,6473346.59,2022,"Villaverde Alto, Casco Histórico de Villaverde",439202.8674935084,4467963.180551877,2022-01-01
VICÁLVARO - VILLA DE VALLECAS,40.38316,-3.59843453,URBANISMO,2002387.01,2022,Casco Histórico de Vicálvaro,449204.3165716072,4470457.5141407205,2022-01-01
VILLA DE VALLECAS,40.37425,-3.6253898,URBANISMO,1000000.0,2022,Casco Histórico de Vallecas,446909.3198531514,4469484.34913829,2022-01-01
USERA,40.36457,-3.71745381,URBANISMO,2536005.85,2022,Orcasitas,439085.0314064832,4468469.212034925,2022-01-01
FUENCARRAL-EL PARDO,40.48344,-3.7371622,URBANISMO,1000000.0,2022,Fuentelarreina,437521.77297580737,4481677.522589978,2022-01-01
CIUDAD LINEAL,40.4156699,-3.62947201,URBANISMO,3057144.83,2022,Ventas,446595.5048246709,4474084.370973098,2022-01-01
LATINA,40.374123,-3.761686,URBANISMO,2527931.95,2022,Buenavista,435338.62082805263,4469560.982097851,2022-01-01
FUENCARRAL-EL PARDO,40.51908,-3.667892,URBANISMO,2390093.37,2022,El Goloso,443422.7693814446,4485586.861786297,2022-01-01
MORATALAZ,40.414187,-3.649254,URBANISMO,2000000.0,2022,Marroquina,444915.9772474212,4473931.912650114,2022-01-01
VICÁLVARO,40.4021037,-3.6037268,CULTURA,6704590.43,2022,Casco Histórico de Vicálvaro,448769.45946570265,4472563.294975396,2022-01-01
CENTRO,40.411993,-3.6960142,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",22021169.49,2022,Cortes,440946.7988162695,4473718.575726759,2022-01-01
PUENTE DE VALLECAS,40.4040032,-3.6596165,URBANISMO,2123103.25,2022,Numancia,444028.3592071529,4472808.028842717,2022-01-01
ARGANZUELA,40.389342,-3.6906507,PROTECCIÓN Y PROMOCIÓN SOCIAL,5667323.34,2022,Legazpi,441382.22379196703,4471200.762025337,2022-01-01
VILLAVERDE,40.3512974,-3.6816647,CULTURA,5536404.74,2022,Butarque,442112.3568372549,4466971.945180067,2022-01-01
CIUDAD LINEAL,40.440897,-3.6518546,PROTECCIÓN Y PROMOCIÓN SOCIAL,5664921.16,2022,San Pascual,444717.2102822045,4476898.336212917,2022-01-01
CENTRO,40.41218,-3.705686,INVERSIONES DE CARÁCTER GENERAL,2712440.5,2022,Embajadores,440126.3557431544,4473745.840261316,2022-01-01
SAN BLAS-CANILLEJAS,40.448555,-3.6491725,EDUCACIÓN,3403116.19,2022,San Pascual,444950.92473513033,4477746.698296228,2022-01-01
VILLA DE VALLECAS,40.36707,-3.6164204,CULTURA,4611972.0,2022,Ensanche de Vallecas,447665.20225619,4468682.03527208,2022-01-01
VILLA DE VALLECAS,40.37928,-3.6150449,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,4548290.98,2022,Casco Histórico de Vallecas,447791.4088304216,4470036.513327782,2022-01-01
SAN BLAS-CANILLEJAS,40.42874,-3.6132943,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",5958027.89,2022,Hellín,447978.1023063457,4475525.4928363385,2022-01-01
FUENCARRAL-EL PARDO,40.5055069,-3.6980938,CULTURA,5354401.28,2022,El Goloso,440852.42542399466,4484100.044218374,2022-01-01
FUENCARRAL-EL PARDO,40.50394,-3.6782276,CULTURA,5579586.28,2022,Valverde,442534.30944909336,4483912.984742398,2022-01-01
PUENTE DE VALLECAS,40.38884,-3.6533333,INVERSIONES DE CARÁCTER GENERAL,7213349.24,2022,Palomeras Bajas,444549.0843847676,4471120.968857095,2022-01-01
CIUDAD LINEAL,40.414833,-3.6269933,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,3412104.06,2022,Pueblo Nuevo,446805.1412070705,4473989.980679174,2022-01-01
VICÁLVARO,40.39905,-3.562304,EDUCACIÓN,4027480.11,2022,El Cañaveral,452282.3434222596,4472201.154584121,2022-01-01
SALAMANCA,40.4322265,-3.6707251,CULTURA,4132796.72,2022,Guindalera,443109.51266962575,4475947.894224474,2022-01-01
VILLAVERDE,40.35706,-3.70204189,URBANISMO,7960413.55,2022,Ángeles,440386.9667480754,4467625.1144918045,2022-01-01
ARGANZUELA,40.40091,-3.72018992,INFRAESTRUCTURAS,46384413.45,2022,Imperial,438885.5730332368,4472504.803616683,2022-01-01
BARAJAS,40.47234,-3.57624752,URBANISMO,5848640.33,2022,Casco Histórico de Barajas,451152.1454412564,4480343.927962615,2022-01-01
CARABANCHEL,40.3616093,-3.7560156,CULTURA,5906881.79,2022,Buenavista,435808.1279287273,4468167.84533169,2022-01-01
VILLA DE VALLECAS,40.359382,-3.595714,EDUCACIÓN,3748917.38,2022,Ensanche de Vallecas,449417.4635525942,4467816.636498998,2022-01-01
HORTALEZA,40.4689358,-3.6438566,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,1851784.67,2022,Canillas,445418.2070551608,4480005.670340744,2022-01-01
CARABANCHEL,40.36164,-3.7536981,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,4412109.39,2022,Buenavista,436004.9334130733,4468169.573981868,2022-01-01
CHAMARTÍN,40.4829999,-3.6774787,CULTURA,3559967.96,2022,Castilla,442579.9158014972,4481588.126231595,2022-01-01
VILLA DE VALLECAS,40.37932,-3.61512,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,2314726.51,2022,Casco Histórico de Vallecas,447785.06474717386,4470040.997607989,2022-01-01
TETUÁN,40.46405,-3.6971633,URBANISMO,5287472.18,2022,Valdeacederas,440894.9096105461,4479497.669412021,2022-01-01
