Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
PUENTE DE VALLECAS,40.3886611,-3.6658291,PROTECCIÓN Y PROMOCIÓN SOCIAL,"2.921.625,91",2022,San Diego,443488.36044984404,4471109.022709831
CARABANCHEL,40.4006829,-3.7272645,MEDIO AMBIENTE,"3.222.990,54",2022,San Isidro,438285.02032083075,4472484.510845989
SAN BLAS-CANILLEJAS,40.4263129,-3.6220081,PROTECCIÓN Y PROMOCIÓN SOCIAL,"2.955.718,56",2022,Amposta,447237.064114142,4475261.253409307
CHAMBERÍ,40.4385953,-3.7083185,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","4.834.596,50",2022,Arapiles,439926.50696430326,4476679.719271531
RETIRO,40.4009974,-3.6784228,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"5.286.964,27",2022,Pacífico,442429.9813697228,4472486.465807339
VILLAVERDE,40.3403167,-3.6832757,INFRAESTRUCTURAS,"2.905.390,90",2022,Butarque,441966.13756907464,4465754.162806726
VILLA DE VALLECAS,40.3624877,-3.5997148,PROTECCIÓN Y PROMOCIÓN SOCIAL,"6.584.730,10",2022,Ensanche de Vallecas,449080.08730323246,4468163.658517834
USERA,40.37754,-3.715659,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","6.430.756,47",2022,Zofío,439249.0682071247,4469907.631684414
VICÁLVARO,40.37375,-3.5974301,MEDIO AMBIENTE,"3.271.400,72",2022,Casco Histórico de Vicálvaro,449282.51816725876,4469412.441964316
VICÁLVARO,40.386389,-3.575556,MEDIO AMBIENTE,"14.056.315,63",2022,Casco Histórico de Vicálvaro,451148.61130450055,4470803.03778882
USERA,40.3922859,-3.7089303,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"8.089.833,00",2022,Comillas,439833.38196510193,4471539.811482483
CHAMBERÍ,40.44038,-3.7007173,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"3.089.913,85",2022,Ríos Rosas,440572.75225627644,4476872.67900567
ARGANZUELA,40.39281,-3.689732,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"8.522.130,72",2022,Legazpi,441463.20045236085,4471585.098056981
MONCLOA-ARAVACA,40.41176,-3.743862,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1.825.000,00",2022,Casa de Campo,436886.90734192263,4473725.783923647
USERA,40.3759435,-3.702718,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1.570.000,00",2022,Pradolongo,440346.2061038054,4469721.612893976
MONCLOA-ARAVACA,40.47745,-3.7513272,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2.000.000,00",2022,Fuentelarreina,436315.5461720418,4481022.751851393
FUENCARRAL-EL PARDO,40.48022,-3.6996125,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1.540.000,00",2022,La Paz,440701.4924482893,4481294.192104542
FUENCARRAL-EL PARDO,40.480208,-3.69961258,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"3.300.000,00",2022,La Paz,440701.4751082674,4481292.860148984
BARAJAS,40.4547855,-3.6019412,CULTURA,"6.356.545,99",2022,Alameda de Osuna,448960.8229785282,4478409.912315943
CENTRO,40.4120708,-3.7132821,CULTURA,"1.617.005,68",2022,Palacio,439481.7645163461,4473738.893090663
MONCLOA-ARAVACA,40.4191125,-3.7256439,CULTURA,"3.229.483,19",2022,Casa de Campo,438439.34006388584,4474529.057840594
MONCLOA-ARAVACA,40.4126577,-3.7442902,CULTURA,"754.152,00",2022,Casa de Campo,436851.4155045367,4473825.734204117
ARGANZUELA,40.3917614,-3.6963276,CULTURA,"1.760.000,00",2022,Chopera,440902.5179470911,4471473.0922209
CENTRO,40.42741,-3.7107288,CULTURA,"1.000.000,00",2022,Universidad,439712.09530615446,4475439.793918645
VILLA DE VALLECAS,40.3597278,-3.5890154,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2.986.984,67",2022,Ensanche de Vallecas,449986.5056918785,4467851.211394976
CARABANCHEL,40.37376,-3.73516,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1.490.000,00",2022,Buenavista,437590.16314981814,4469501.634062247
VICÁLVARO,40.3732,-3.5599462,MEDIO AMBIENTE,"3.809.768,77",2022,Casco Histórico de Vicálvaro,452464.25995672995,4469330.573145452
RETIRO,40.419683,-3.6879969,MEDIO AMBIENTE,"2.021.417,00",2022,Los Jerónimos,441633.676043016,4474566.835640219
VILLA DE VALLECAS,40.336444,-3.577083,MEDIO AMBIENTE,"31.996.088,66",2022,Casco Histórico de Vallecas,450982.8418714711,4465260.082937777
VILLA DE VALLECAS,40.365205,-3.594149,MEDIO AMBIENTE,"2.190.946,72",2022,Ensanche de Vallecas,449554.6904980285,4468462.085214351
BARAJAS,40.451781,-3.535458,MEDIO AMBIENTE,"71.303.403,72",2022,Aeropuerto,454596.00351993274,4478040.107438148
BARAJAS,40.4944431,-3.5501484,MEDIO AMBIENTE,"69.938.108,04",2022,Aeropuerto,453379.8444638532,4482783.2632951
VICÁLVARO,40.38058,-3.5665939,MEDIO AMBIENTE,"13.912.164,04",2022,Casco Histórico de Vicálvaro,451905.15898407565,4470153.334931835
SAN BLAS-CANILLEJAS,40.434248,-3.612367,MEDIO AMBIENTE,"747.805,52",2022,Hellín,448060.99777286476,4476136.332686365
VILLAVERDE,40.334267,-3.6637888,MEDIO AMBIENTE,"3.560.441,94",2022,Butarque,443616.22937866906,4465070.063276178
PUENTE DE VALLECAS,40.37549,-3.67140488,MEDIO AMBIENTE,"1.329.245,90",2022,Entrevías,443004.0178157167,4469650.624917445
FUENCARRAL-EL PARDO - CHAMARTÍN,40.4833757,-3.681394,INFRAESTRUCTURAS,"49.792.763,99",2022,Valverde,442248.3919750176,4481632.395234834
VILLAVERDE,40.35898,-3.702677,MEDIO AMBIENTE,"2.178.016,90",2022,Ángeles,440334.7293131372,4467838.659669367
VILLA DE VALLECAS,40.37834,-3.609308,MEDIO AMBIENTE,"1.385.549,39",2022,Santa Eugenia,448277.6744424058,4469928.803730594
VILLA DE VALLECAS,40.33552,-3.58243889,MEDIO AMBIENTE,"4.911.311,00",2022,Casco Histórico de Vallecas,450527.23767628893,4465160.500843975
VILLA DE VALLECAS,40.33756,-3.5755459,MEDIO AMBIENTE,"5.542.301,00",2022,Casco Histórico de Vallecas,451114.20860303997,4465383.106211089
CARABANCHEL,40.376885,-3.753343,MEDIO AMBIENTE,"1.958.583,57",2022,Buenavista,436049.49651254714,4469861.495186264
ARGANZUELA,40.4059554,-3.7102481,MEDIO AMBIENTE,"1.240.971,99",2022,Acacias,439733.7306433511,4473058.013747105
USERA,40.371319,-3.703703,MEDIO AMBIENTE,"1.430.971,99",2022,Pradolongo,440258.50462117785,4469208.963933444
CHAMARTÍN - TETUÁN,40.44689,-3.690457,INFRAESTRUCTURAS,"7.417.883,80",2022,El Viso,441448.57568039687,4477588.436459652
HORTALEZA,40.492845,-3.6524736,MEDIO AMBIENTE,"1.115.892,08",2022,Valdefuentes,444707.33241275215,4482664.970036119
PUENTE DE VALLECAS,40.403848,-3.6645764,MEDIO AMBIENTE,"1.265.781,64",2022,Numancia,443607.35520695685,4472793.954315169
VICÁLVARO,40.3772222,-3.579722,URBANISMO,"18.837.400,83",2022,Casco Histórico de Vicálvaro,450788.3421118225,4469787.846765074
VICÁLVARO,40.3879964,-3.56225647,URBANISMO,"13.940.687,14",2022,Casco Histórico de Vicálvaro,452278.5741831341,4470974.194194199
VILLA DE VALLECAS,40.34915,-3.6292232,URBANISMO,"8.733.966,27",2022,Casco Histórico de Vallecas,446564.0767522298,4466700.600693996
HORTALEZA,40.47025,-3.62537866,URBANISMO,"3.406.565,40",2022,Valdefuentes,446985.6849587315,4480140.285583562
MONCLOA-ARAVACA,40.44463,-3.77885365,URBANISMO,"2.948.674,54",2022,Aravaca,433950.17163660284,4477399.934355308
VILLAVERDE,40.36002,-3.71601781,URBANISMO,"6.473.346,59",2022,"Villaverde Alto, Casco Histórico de Villaverde",439202.8674935084,4467963.180551877
VICÁLVARO - VILLA DE VALLECAS,40.38316,-3.59843453,URBANISMO,"2.002.387,01",2022,Casco Histórico de Vicálvaro,449204.3165716072,4470457.5141407205
VILLA DE VALLECAS,40.37425,-3.6253898,URBANISMO,"1.000.000,00",2022,Casco Histórico de Vallecas,446909.3198531514,4469484.34913829
USERA,40.36457,-3.71745381,URBANISMO,"2.536.005,85",2022,Orcasitas,439085.0314064832,4468469.212034925
FUENCARRAL-EL PARDO,40.48344,-3.7371622,URBANISMO,"1.000.000,00",2022,Fuentelarreina,437521.77297580737,4481677.522589978
CIUDAD LINEAL,40.4156699,-3.62947201,URBANISMO,"3.057.144,83",2022,Ventas,446595.50482467085,4474084.370973098
LATINA,40.374123,-3.761686,URBANISMO,"2.527.931,95",2022,Buenavista,435338.62082805263,4469560.982097851
FUENCARRAL-EL PARDO,40.51908,-3.667892,URBANISMO,"2.390.093,37",2022,El Goloso,443422.7693814446,4485586.861786297
MORATALAZ,40.414187,-3.649254,URBANISMO,"2.000.000,00",2022,Marroquina,444915.97724742116,4473931.912650114
VICÁLVARO,40.4021037,-3.6037268,CULTURA,"6.704.590,43",2022,Casco Histórico de Vicálvaro,448769.45946570265,4472563.294975396
CENTRO,40.411993,-3.6960142,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","22.021.169,49",2022,Cortes,440946.7988162695,4473718.575726759
PUENTE DE VALLECAS,40.4040032,-3.6596165,URBANISMO,"2.123.103,25",2022,Numancia,444028.3592071529,4472808.028842717
ARGANZUELA,40.389342,-3.6906507,PROTECCIÓN Y PROMOCIÓN SOCIAL,"5.667.323,34",2022,Legazpi,441382.22379196703,4471200.762025337
VILLAVERDE,40.3512974,-3.6816647,CULTURA,"5.536.404,74",2022,Butarque,442112.3568372549,4466971.945180067
CIUDAD LINEAL,40.440897,-3.6518546,PROTECCIÓN Y PROMOCIÓN SOCIAL,"5.664.921,16",2022,San Pascual,444717.2102822045,4476898.336212917
CENTRO,40.41218,-3.705686,INVERSIONES DE CARÁCTER GENERAL,"2.712.440,50",2022,Embajadores,440126.35574315436,4473745.840261316
SAN BLAS-CANILLEJAS,40.448555,-3.6491725,EDUCACIÓN,"3.403.116,19",2022,San Pascual,444950.92473513033,4477746.6982962275
VILLA DE VALLECAS,40.36707,-3.6164204,CULTURA,"4.611.972,00",2022,Ensanche de Vallecas,447665.20225619,4468682.0352720795
VILLA DE VALLECAS,40.37928,-3.6150449,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"4.548.290,98",2022,Casco Histórico de Vallecas,447791.40883042157,4470036.513327782
SAN BLAS-CANILLEJAS,40.42874,-3.6132943,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","5.958.027,89",2022,Hellín,447978.1023063457,4475525.4928363385
FUENCARRAL-EL PARDO,40.5055069,-3.6980938,CULTURA,"5.354.401,28",2022,El Goloso,440852.42542399466,4484100.044218374
FUENCARRAL-EL PARDO,40.50394,-3.6782276,CULTURA,"5.579.586,28",2022,Valverde,442534.30944909336,4483912.984742398
PUENTE DE VALLECAS,40.38884,-3.6533333,INVERSIONES DE CARÁCTER GENERAL,"7.213.349,24",2022,Palomeras Bajas,444549.0843847676,4471120.968857095
CIUDAD LINEAL,40.414833,-3.6269933,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"3.412.104,06",2022,Pueblo Nuevo,446805.1412070705,4473989.980679174
VICÁLVARO,40.39905,-3.562304,EDUCACIÓN,"4.027.480,11",2022,El Cañaveral,452282.3434222596,4472201.154584121
SALAMANCA,40.4322265,-3.6707251,CULTURA,"4.132.796,72",2022,Guindalera,443109.51266962575,4475947.894224474
VILLAVERDE,40.35706,-3.70204189,URBANISMO,"7.960.413,55",2022,Ángeles,440386.96674807544,4467625.1144918045
ARGANZUELA,40.40091,-3.72018992,INFRAESTRUCTURAS,"46.384.413,45",2022,Imperial,438885.5730332368,4472504.803616683
BARAJAS,40.47234,-3.57624752,URBANISMO,"5.848.640,33",2022,Casco Histórico de Barajas,451152.1454412564,4480343.927962615
CARABANCHEL,40.3616093,-3.7560156,CULTURA,"5.906.881,79",2022,Buenavista,435808.1279287273,4468167.84533169
VILLA DE VALLECAS,40.359382,-3.595714,EDUCACIÓN,"3.748.917,38",2022,Ensanche de Vallecas,449417.4635525942,4467816.636498998
HORTALEZA,40.4689358,-3.6438566,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1.851.784,67",2022,Canillas,445418.20705516083,4480005.670340744
CARABANCHEL,40.36164,-3.7536981,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"4.412.109,39",2022,Buenavista,436004.9334130733,4468169.573981868
CHAMARTÍN,40.4829999,-3.6774787,CULTURA,"3.559.967,96",2022,Castilla,442579.91580149723,4481588.126231595
VILLA DE VALLECAS,40.37932,-3.61512,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2.314.726,51",2022,Casco Histórico de Vallecas,447785.06474717386,4470040.997607989
TETUÁN,40.46405,-3.6971633,URBANISMO,"5.287.472,18",2022,Valdeacederas,440894.9096105461,4479497.669412021
VILLA DE VALLECAS,40.36931,-3.633227,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"5.459.372,00",2022,Casco Histórico de Vallecas,446240.0731966051,4468940.750537489
CIUDAD LINEAL,40.4152664,-3.6266822,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"775.773,39",2022,Pueblo Nuevo,446831.8766181868,4474037.900547244
PUENTE DE VALLECAS,40.3887019,-3.6555218,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1.099.266,97",2022,Palomeras Bajas,444363.22299361357,4471107.014705686
PUENTE DE VALLECAS,40.388702,-3.6555218,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"4.050.687,67",2022,Palomeras Bajas,444363.2230759054,4471107.025805571
TETUÁN,40.46591,-3.708061,EDUCACIÓN,"3.500.000,00",2022,Valdeacederas,439972.6575454326,4479711.483449205
CHAMARTÍN,40.44055,-3.6806309,URBANISMO,"11.061.080,50",2022,El Viso,442276.42150784156,4476878.228063228
CENTRO,40.41691,-3.70355008,URBANISMO,"7.556.655,00",2022,Sol,440311.7583479892,4474269.423234892
SAN BLAS-CANILLEJAS,40.4219366,-3.6212382,OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,"2.745.290,43",2022,Arcos,447298.95718343474,4474775.027111822
PUENTE DE VALLECAS - VILLA DE VALLECAS,40.3741,-3.65135769,INFRAESTRUCTURAS,"2.881.505,00",2022,Casco Histórico de Vallecas,444704.7122410684,4469483.6105731875
FUENCARRAL-EL PARDO,40.49453,-3.706395,PROTECCIÓN Y PROMOCIÓN SOCIAL,"5.488.897,03",2022,Mirasierra,440139.32527196454,4482887.194883435
HORTALEZA,40.4923517,-3.6105398,CULTURA,"5.121.171,87",2022,Valdefuentes,448260.5778875878,4482584.778758416
VILLA DE VALLECAS,40.3613,-3.5938878,PROTECCIÓN Y PROMOCIÓN SOCIAL,"4.650.000,00",2022,Ensanche de Vallecas,449573.9576195381,4468028.488410283
ARGANZUELA,40.391065,-3.6976967,INVERSIONES DE CARÁCTER GENERAL,"3.755.760,00",2022,Chopera,440785.71119648026,4471396.708500956
RETIRO,40.4042354,-3.6858061,PROTECCIÓN Y PROMOCIÓN SOCIAL,"5.180.000,00",2022,Pacífico,441806.22846912144,4472850.716079466
RETIRO,40.405725,-3.6713416,INVERSIONES DE CARÁCTER GENERAL,"4.823.835,37",2022,Pacífico,443034.8722059331,4473006.637970109
MONCLOA-ARAVACA,40.473006,-3.82296,MANTENIMIENTO URBANO,"2.305.750,42",2022,El Plantío,430239.0999544501,4480583.615748232
MONCLOA-ARAVACA,40.41502,-3.734403,MANTENIMIENTO URBANO,"2.500.098,36",2022,Casa de Campo,437692.4720030843,4474080.93063599
TETUÁN,40.46525,-3.692857,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","3.629.943,96",2022,Almenara,441261.04341150826,4479627.9957832815
CENTRO,40.41884,-3.69592701,MANTENIMIENTO URBANO,"5.888.055,00",2022,Cortes,440960.18166754005,4474478.531266394
SALAMANCA,40.42395,-3.67659089,INFRAESTRUCTURAS,"2.629.606,88",2022,Goya,442604.94074452145,4475032.999263459
SALAMANCA,40.43012,-3.6838879,MANTENIMIENTO URBANO,"4.111.605,70",2022,Castellana,441991.2335894392,4475722.633137874
CENTRO,40.42319,-3.70878751,URBANISMO,"3.650.000,00",2022,Universidad,439873.0097233495,4474970.051985438
CENTRO,40.42405,-3.69386307,MANTENIMIENTO URBANO,"2.830.796,00",2022,Justicia,441139.8212016822,4475055.462418966
MONCLOA-ARAVACA,40.429169,-3.729536,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"3.300.844,39",2022,Casa de Campo,438118.36429746577,4475648.046434541
ARGANZUELA,40.390469,-3.6952873,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2.799.931,00",2022,Legazpi,440989.68102857127,4471328.942180616
VILLA DE VALLECAS,40.382947,-3.6024611,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1.318.146,76",2022,Santa Eugenia,448862.3744225354,4470436.192158206
PUENTE DE VALLECAS,40.37787,-3.673897,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1.529.647,14",2022,Entrevías,442794.47154855466,4469916.410857233
SALAMANCA,40.43808,-3.6744838,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2.726.841,01",2022,Guindalera,442795.6607694683,4476600.059077082
FUENCARRAL-EL PARDO,40.49829,-3.696446,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1.301.265,00",2022,Valverde,440985.7155977257,4483297.85620261
MONCLOA-ARAVACA,40.45373,-3.7130288,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","3.209.931,32",2022,Ciudad Universitaria,439540.57992546476,4478362.887928984
CHAMARTÍN,40.461339,-3.6687121,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"3.576.131,00",2022,Nueva España,443304.7240187642,4479178.088084129
VILLA DE VALLECAS,40.36126,-3.62726055,INFRAESTRUCTURAS,"4.550.000,00",2022,Casco Histórico de Vallecas,446740.282473488,4468043.604841272
RETIRO,40.39914,-3.67687697,INFRAESTRUCTURAS,"15.345.000,00",2022,Pacífico,442559.58069154696,4472279.290343325
VILLAVERDE - USERA,40.36455,-3.69869538,INFRAESTRUCTURAS,"5.300.000,00",2022,Orcasur,440677.6997487529,4468454.243877607
TETUÁN,40.45255,-3.69734223,URBANISMO,"11.146.000,00",2022,Cuatro Caminos,440869.65803973266,4478221.285181234
RETIRO,40.4033514,-3.67287751,URBANISMO,"15.830.000,00",2022,Adelfas,442902.53951369814,4472744.161186309
FUENCARRAL-EL PARDO,40.48317,-3.70454099,URBANISMO,"12.933.000,00",2022,La Paz,440286.3690393101,4481624.967729016
MORATALAZ,40.4,-3.62810027,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2.350.000,00",2022,Pavones,446699.5237302762,4472344.197435295
SALAMANCA,40.43858,-3.666769,CULTURA,"3.700.000,00",2022,Guindalera,443450.39233265107,4476650.591281457
LATINA,40.40286,-3.7515003,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2.960.000,00",2022,Lucero,436230.4288604652,4472743.370349808
BARAJAS,40.47899,-3.596845,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","4.500.000,00",2022,Timón,449411.10178315494,4481093.682528933
TETUÁN,40.46343,-3.70721,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","4.500.000,00",2022,Berruguete,440042.59818744066,4479435.623872879
VILLAVERDE,40.34588,-3.6934544,INFRAESTRUCTURAS,"1.191.798,00",2022,Ángeles,441106.4437000861,4466378.4027254125
VILLAVERDE,40.345904,-3.6934598,MANTENIMIENTO URBANO,"1.208.202,00",2022,Ángeles,441106.005960993,4466381.070275971
PUENTE DE VALLECAS,40.38901,-3.664102,EDUCACIÓN,"3.850.000,00",2022,Palomeras Bajas,443635.2384359748,4471146.647811181
VILLA DE VALLECAS,40.060504,-3.5995024,SECTORES PRODUCTIVOS,"6.850.000,00",2022,,448871.68704822916,4434644.762097657
RETIRO,40.40279,-3.6724092,EDUCACIÓN,"3.150.000,00",2022,Adelfas,442941.804529906,4472681.543827748
CIUDAD LINEAL,40.43748,-3.6506546,MANTENIMIENTO URBANO,"1.050.000,00",2022,Concepción,444816.1872006959,4476518.299441381
SALAMANCA,40.4273605,-3.6858071,INVERSIONES DE CARÁCTER GENERAL,"1.468.162,88",2022,Recoletos,441826.06414396135,4475417.591302797
LATINA,40.4011395,-3.7451803,EDUCACIÓN,"5.250.000,00",2022,Lucero,436765.115951597,4472547.855426472
USERA,40.37172,-3.7191775,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1.000.000,00",2022,Orcasitas,438945.13388588326,4469264.041286315
HORTALEZA,40.457908,-3.6199757,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1.200.000,00",2022,Piovera,447434.08445532713,4478767.090402169
SAN BLAS-CANILLEJAS,40.4221206,-3.619847,OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,"1.650.000,00",2022,Arcos,447417.1198469488,4474794.622159767
CIUDAD LINEAL,40.4254386,-3.6490277,SALUD PÚBLICA,"3859532,13",2022,Ventas,444944.3504414784,4475180.6929567335
CIUDAD LINEAL,40.4401633,-3.6598874,SALUD PÚBLICA,4776243,2022,Guindalera,444035.347564471,4476821.954356831
CIUDAD LINEAL,40.4231,-3.6524,"TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO",111827280,2022,Ventas,444656.3666435438,4474923.21629332
FUENCARRAL-EL PARDO,40.5051,-3.6695,"TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO",152100000,2022,Valverde,443274.7747724174,4484036.09693728
VICÁLVARO,40.4069441,-3.5531687,VIVENDA,"17108056,41",2022,El Cañaveral,453063.0610976127,4473072.499249218
VICÁLVARO,40.4067067,-3.5560424,VIVENDA,"17179631,69",2022,El Cañaveral,452819.0576577327,4473047.678119079
VICÁLVARO,40.4067044,-3.556465,VIVENDA,"17832756,59",2022,El Cañaveral,452783.19769201713,4473047.648489389
VICÁLVARO,40.405684,-3.5572887,VIVENDA,"13474163,5",2022,El Cañaveral,452712.59116502263,4472934.825577886
VICÁLVARO,40.4002565,-3.5605078,VIVENDA,"13743806,28",2022,El Cañaveral,452435.6205894397,4472334.106585593
VICÁLVARO,40.4006641,-3.5614487,VIVENDA,"14986880,39",2022,El Cañaveral,452356.0632774483,4472379.856378692
VICÁLVARO,40.4014654,-3.5614492,VIVENDA,"13380298,56",2022,El Cañaveral,452356.58575883106,4472468.799983849
VICÁLVARO,40.405514,-3.5615997,VIVENDA,"13473059,42",2022,El Cañaveral,452346.66971867456,4472918.271026585
VICÁLVARO,40.4010441,-3.5618687,VIVENDA,"7189699,59",2022,El Cañaveral,452320.69043756695,4472422.262371344
VICÁLVARO,40.4007041,-3.5621687,VIVENDA,"7089679,59",2022,El Cañaveral,452294.99276486697,4472384.68463575
VICÁLVARO,40.4054441,-3.5638987,VIVENDA,"13803928,55",2022,El Cañaveral,452151.5425198518,4472911.754195165
VICÁLVARO,40.4048787,-3.5647897,VIVENDA,"13534530,29",2022,El Cañaveral,452075.5371531758,4472849.478135537
VILLA DE VALLECAS,40.374148,-3.63320586,VIVENDA,"11918778,75",2022,Casco Histórico de Vallecas,446245.71234047925,4469477.748303827
VILLA DE VALLECAS,40.374018,-3.635026,VIVENDA,"14228734,54",2022,Casco Histórico de Vallecas,446091.0918775547,4469464.426304319
VILLA DE VALLECAS,40.37351,-3.635163,VIVENDA,"11885724,05",2022,Casco Histórico de Vallecas,446079.05660249665,4469408.122568898
PUENTE DE VALLECAS,40.38564,-3.6636112,VIVENDA,"8530985,88",2022,Palomeras Bajas,443674.0873444716,4470772.268832367
PUENTE DE VALLECAS,40.386498,-3.6663675,VIVENDA,"10882840,9",2022,San Diego,443440.8544368684,4470869.265253049
PUENTE DE VALLECAS,40.3850508,-3.6668926,VIVENDA,"9656153,12",2022,San Diego,443395.073783741,4470708.963710796
PUENTE DE VALLECAS,40.3864054,-3.6671987,VIVENDA,"9119135,06",2022,San Diego,443370.22676071717,4470859.518760772
PUENTE DE VALLECAS,40.3851781,-3.6680348,VIVENDA,"23172756,81",2022,San Diego,443298.23145513004,4470723.825661793
VILLAVERDE,40.3545193,-3.7050987,VIVENDA,"17568566,03",2022,Ángeles,440125.15190298867,4467345.16485947
VILLAVERDE,40.34136,-3.686282,VIVENDA,"11406945,59",2022,San Cristóbal,441711.6941311187,4465871.942676418
LATINA,40.341397,-3.6863142,VIVENDA,"27339694,81",2022,San Cristóbal,441708.9910993823,4465876.070812895
LATINA,40.405076,-3.736289,VIVENDA,"15626301,5",2022,Puerta del Ángel,437523.2648087056,4472978.482207175
PUENTE DE VALLECAS,40.40373,-3.6589631,VIVENDA,"2662102,68",2022,Numancia,444083.5776714786,4472777.290322861
FUENCARRAL-EL PARDO,40.48866,-3.7305976,VIVENDA,"6986422,85",2022,Mirasierra,438082.9581749909,4482252.32082047
CARABANCHEL,40.364356,-3.749841,VIVENDA,"18902144,4",2022,Buenavista,436334.99079113617,4468468.263585043
TETUÁN,40.46812,-3.707354,VIVENDA,"11962529,85",2022,Valdeacederas,440034.5610724332,4479956.314171739
