Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
BARAJAS,40.451781227823200,-3.535458209657420,MEDIO AMBIENTE,"69814811,2",2021,Aeropuerto,454595.98589535087,4478040.132834251
BARAJAS,40.4944431,-3.5501484,MEDIO AMBIENTE,"65910244,12",2021,Aeropuerto,453379.8444638532,4482783.2632951
VICÁLVARO,40.4069441,-3.5531687,VIVENDA,"17560920,16",2021,El Cañaveral,453063.0610976127,4473072.499249218
VICÁLVARO,40.4067067,-3.5560424,VIVENDA,"17542423,44",2021,El Cañaveral,452819.0576577327,4473047.678119079
VICÁLVARO,40.4067044,-3.556465,VIVENDA,"17467699,89",2021,El Cañaveral,452783.19769201713,4473047.648489389
VICÁLVARO,40.405684,-3.5572887,VIVENDA,"14839949,1",2021,El Cañaveral,452712.59116502263,4472934.825577886
VICÁLVARO,40.37320354825460,-3.5599462399323700,MEDIO AMBIENTE,"3649768,77",2021,Casco Histórico de Vicálvaro,452464.25906007807,4469330.9670170015
VICÁLVARO,40.4002565,-3.5605078,VIVENDA,"14371516,21",2021,El Cañaveral,452435.6205894397,4472334.106585593
VICÁLVARO,40.4006641,-3.5614487,VIVENDA,"13779959,87",2021,El Cañaveral,452356.0632774483,4472379.856378692
VICÁLVARO,40.4014654,-3.5614492,VIVENDA,"12968982,36",2021,El Cañaveral,452356.58575883106,4472468.799983849
VICÁLVARO,40.405514,-3.5615997,VIVENDA,"14371516,19",2021,El Cañaveral,452346.66971867456,4472918.271026585
VICÁLVARO,40.4010441,-3.5618687,VIVENDA,"7420301,26",2021,El Cañaveral,452320.69043756695,4472422.262371344
VICÁLVARO,40.4007041,-3.5621687,VIVENDA,"7420301,26",2021,El Cañaveral,452294.99276486697,4472384.68463575
VICÁLVARO,40.3879964,-3.56225647,URBANISMO,"9592141,18",2021,Casco Histórico de Vicálvaro,452278.5741831341,4470974.194194199
VICÁLVARO,40.39905,-3.562304,EDUCACIÓN,"2160540,12",2021,El Cañaveral,452282.3434222596,4472201.154584121
VICÁLVARO,40.4054441,-3.5638987,VIVENDA,"14971543,41",2021,El Cañaveral,452151.5425198518,4472911.754195165
VICÁLVARO,40.4048787,-3.5647897,VIVENDA,"14978398,06",2021,El Cañaveral,452075.5371531758,4472849.478135537
VILLA DE VALLECAS,40.33756827,-3.5755459,MEDIO AMBIENTE,6146383,2021,Casco Histórico de Vallecas,451114.21457187977,4465384.024161489
VICÁLVARO,40.386389,-3.575556,MEDIO AMBIENTE,"14219936,97",2021,Casco Histórico de Vicálvaro,451148.61130450055,4470803.03778882
BARAJAS,40.47234488,-3.57624752,URBANISMO,2350093,2021,Casco Histórico de Barajas,451152.1489775117,4480344.4696436
CHAMARTÍN,40.44055273870170,-3.6806309837110600,URBANISMO,10620000,2021,El Viso,442276.41675091756,4476878.532113692
VILLA DE VALLECAS,40.336444,-3.577083,MEDIO AMBIENTE,33886530,2021,Casco Histórico de Vallecas,450982.8418714711,4465260.082937777
VICÁLVARO,40.3772222,-3.579722222222220,URBANISMO,"14842159,12",2021,Casco Histórico de Vicálvaro,450788.3232476364,4469787.846888726
VILLA DE VALLECAS,40.335761947903100,-3.5836619918482700,MEDIO AMBIENTE,"9118575,66",2021,Casco Histórico de Vallecas,450423.52304957475,4465188.040806334
VILLA DE VALLECAS,40.33552477,-3.58243889,MEDIO AMBIENTE,5608350,2021,Casco Histórico de Vallecas,450527.2411601053,4465161.03030259
