anyo,cluster_k3,tasa_bruta_natalidad,poblacion_etapa_educativa,tasa_creci_demogr,porcent_envejec,paro_registrado,tamanio_hogar,valor_catastral_inmueble,num_hogar_monoparental,num_mujer_sola,num_hombre_solo,inversion,superficie,densidad,n_habitantes,n_hab_mujeres,edad_media_poblac,num_espanioles,airbnb,poblacion_noEstudios,poblacion_estudios_medios,poblacion_estudios_superiores,precio_vivienda,num_extranj,total_hogares,renta
2020,0,9.551951219512196,2361.682926829268,2.7104878048780487,15.712682926829268,689.4146341463414,2.800731707317073,138461.8536585366,161.26829268292684,341.3170731707317,106.70731707317073,3575428.5058536585,841.3414634146342,89.50731707317074,13245.926829268292,6939.90243902439,41.27073170731707,11536.073170731708,5.804878048780488,1340.6341463414635,4134.341463414634,3015.268292682927,2628.7836585365853,1709.7317073170732,4743.341463414634,43531.39024390244
2020,1,8.047142857142857,2689.3214285714284,0.7469642857142856,22.966250000000002,920.75,2.3723214285714285,165240.5892857143,190.75,1065.7857142857142,312.07142857142856,3847405.8275,152.80357142857142,254.58928571428572,23139.0,12564.214285714286,45.935,20167.446428571428,77.98214285714286,1726.9107142857142,6397.857142857143,8188.392857142857,4584.882857142858,2971.3928571428573,9846.767857142857,46574.92857142857
2020,2,8.899117647058823,6379.617647058823,1.8094117647058825,19.699411764705882,2415.205882352941,2.6370588235294115,80477.5294117647,452.0,1540.1764705882354,437.3235294117647,8374903.904705882,511.61764705882354,177.97058823529412,41978.205882352944,22259.29411764706,43.549705882352946,35385.94117647059,16.794117647058822,5239.294117647059,14982.764705882353,6943.294117647059,2348.229705882353,6591.941176470588,16007.882352941177,31090.970588235294
2021,0,8.540975609756098,2344.4146341463415,3.0239024390243903,0.15707317073170732,892.780487804878,2.815121951219512,138713.78048780488,155.21951219512195,344.3170731707317,109.17073170731707,8783293.000731708,841.3414634146342,91.42780487804878,13607.341463414634,7128.341463414634,41.48658536585366,11632.80487804878,6.2926829268292686,1181.219512195122,4218.219512195122,2954.4634146341464,2745.1163414634148,1913.658536585366,4813.829268292683,44445.829268292684
2021,1,7.859464285714286,2681.6428571428573,1.5219642857142859,0.2294642857142857,1191.4642857142858,2.3808928571428574,165139.0,184.64285714285714,1067.767857142857,318.64285714285717,5344664.913803572,152.80357142857142,258.8575,23347.51785714286,12633.160714285714,45.919642857142854,20255.660714285714,94.57142857142857,1463.3035714285713,6624.839285714285,8580.357142857143,4616.89,3243.6428571428573,9969.25,47088.017857142855
2021,2,8.693823529411764,6466.117647058823,2.4938235294117646,0.1938235294117647,3129.5588235294117,2.6661764705882356,80708.91176470589,436.94117647058823,1552.4411764705883,447.5882352941176,17868120.19382353,511.61764705882354,182.30411764705883,42981.73529411765,22789.647058823528,43.53058823529412,35663.55882352941,20.941176470588236,5557.088235294118,15640.676470588236,7432.882352941177,2439.8735294117646,7375.794117647059,16236.382352941177,32114.176470588234
2022,0,8.558536585365854,2279.756097560976,1.6365853658536587,15.654146341463417,674.5365853658536,2.801951219512195,138853.0487804878,150.3170731707317,352.8780487804878,112.6829268292683,10406925.26195122,840.5365853658536,91.92731707317073,13552.560975609756,7090.975609756098,42.05219512195122,11577.512195121952,8.951219512195122,1178.9512195121952,4211.170731707317,3116.609756097561,2939.761951219512,1977.4146341463415,4845.975609756098,46426.46341463415
2022,1,7.246428571428572,2618.714285714286,-1.082142857142857,22.988214285714285,872.8214285714286,2.365357142857143,164997.73214285713,183.91071428571428,1085.8035714285713,326.85714285714283,6168110.981607144,152.91071428571428,259.6076785714286,22986.01785714286,12429.5,46.22428571428571,19914.39285714286,131.85714285714286,1398.1964285714287,6413.75,8044.803571428572,4584.903035714286,3321.3571428571427,9922.32142857143,49307.46428571428
2022,2,8.011764705882353,6346.970588235294,-0.5794117647058823,19.33294117647059,2356.294117647059,2.65,80914.64705882352,434.52941176470586,1588.7941176470588,455.0882352941176,20716959.449411765,512.4117647058823,183.0485294117647,42464.41176470588,22501.647058823528,43.97882352941176,35247.44117647059,31.264705882352942,4977.35294117647,13965.117647058823,7101.911764705882,2521.0035294117647,7556.588235294118,16243.441176470587,33394.0
2023,0,8.521951219512195,2210.9024390243903,1.2104878048780487,16.06463414634146,625.7560975609756,2.769152070487805,138958.1219512195,150.78048780487805,361.5121951219512,116.07317073170732,12090014.555609757,840.4731707317073,92.1348780487805,13798.878048780487,7217.731707317073,42.15512195121951,11589.292682926829,14.512195121951219,1207.658536585366,4176.243902439024,2716.7804878048782,3118.7263414634144,1963.1463414634147,4906.390243902439,47408.439024390245
2023,1,7.5008928571428575,2558.75,-1.0085714285714285,23.306071428571432,789.0535714285714,2.3357509105714285,164975.30357142858,184.91071428571428,1096.2857142857142,336.23214285714283,6914481.763571428,152.91357142857143,255.16107142857143,23153.875,12521.82142857143,46.17857142857143,19682.10714285714,185.14285714285714,1378.5892857142858,6399.5,8041.696428571428,5007.626071428572,3303.785714285714,9946.5,50310.07142857143
2023,2,7.608529411764706,6219.235294117647,-0.8929411764705882,19.556176470588234,2183.0882352941176,2.6122002695294118,81245.79411764706,442.5,1603.9705882352941,467.70588235294116,21659509.140588235,512.4032352941176,182.8326470588235,43457.64705882353,23026.941176470587,43.84735294117647,35060.14705882353,51.970588235294116,4454.411764705882,14124.529411764706,6704.441176470588,2674.955,7404.176470588235,16338.058823529413,34509.705882352944
