Barrio,anyo,Indicador,valor_indicador
RECOLETOS,2018,num_hosteleria,247.0
VALVERDE,2018,num_hosteleria,314.0
EL GOLOSO,2018,num_hosteleria,99.0
PUERTA BONITA,2018,num_hosteleria,120.0
NIÑO JESUS,2018,num_hosteleria,72.0
SIMANCAS,2018,num_hosteleria,221.0
SAN FERMIN,2018,num_hosteleria,65.0
MEDIA LEGUA,2018,num_hosteleria,49.0
UNIVERSIDAD,2018,num_hosteleria,644.0
MIRASIERRA,2018,num_hosteleria,71.0
CUATRO CAMINOS,2018,num_hosteleria,351.0
IMPERIAL,2018,num_hosteleria,118.0
REJAS,2018,num_hosteleria,100.0
VALDEMARIN,2018,num_hosteleria,38.0
ARGUELLES,2018,num_hosteleria,257.0
EL PILAR,2018,num_hosteleria,244.0
EMBAJADORES,2018,num_hosteleria,515.0
CASTILLEJOS,2018,num_hosteleria,247.0
PAVONES,2019,num_hosteleria,22.0
CASCO H.BARAJAS,2019,num_hosteleria,92.0
BUTARQUE,2019,num_hosteleria,51.0
ALMENDRALES,2019,num_hosteleria,118.0
TRAFALGAR,2019,num_hosteleria,320.0
PALOS DE LA FRONTERA,2019,num_hosteleria,0.0
PALOS DE MOGUER,2019,num_hosteleria,216.0
VALDEFUENTES,2019,num_hosteleria,147.0
MOSCARDO,2019,num_hosteleria,149.0
LOS ROSALES,2019,num_hosteleria,145.0
PRADOLONGO,2019,num_hosteleria,123.0
VENTAS,2019,num_hosteleria,194.0
LOS JERONIMOS,2019,num_hosteleria,97.0
AEROPUERTO,2019,num_hosteleria,87.0
VISTA ALEGRE,2019,num_hosteleria,314.0
ORCASITAS,2019,num_hosteleria,56.0
LEGAZPI,2019,num_hosteleria,95.0
SAN DIEGO,2019,num_hosteleria,225.0
FUENTELARREINA,2019,num_hosteleria,3.0
EL PARDO,2019,num_hosteleria,43.0
ADELFAS,2019,num_hosteleria,64.0
CAMPAMENTO,2019,num_hosteleria,56.0
LA PAZ,2019,num_hosteleria,104.0
ENTREVIAS,2019,num_hosteleria,152.0
CASCO H.VICALVARO,2019,num_hosteleria,153.0
PROSPERIDAD,2019,num_hosteleria,219.0
BERRUGUETE,2019,num_hosteleria,111.0
ALMAGRO,2019,num_hosteleria,248.0
LOS CARMENES,2019,num_hosteleria,59.0
LUCERO,2019,num_hosteleria,140.0
GAZTAMBIDE,2019,num_hosteleria,248.0
COSTILLARES,2019,num_hosteleria,68.0
ARAPILES,2019,num_hosteleria,189.0
SAN ANDRES,2019,num_hosteleria,215.0
CUATRO VIENTOS,2019,num_hosteleria,14.0
ROSAS,2019,num_hosteleria,213.0
TIMON,2019,num_hosteleria,53.0
PEÑAGRANDE,2019,num_hosteleria,0.0
SAN CRISTOBAL,2019,num_hosteleria,54.0
PALOMERAS SURESTE,2019,num_hosteleria,143.0
CORTES,2019,num_hosteleria,465.0
CANILLAS,2019,num_hosteleria,184.0
ATALAYA,2019,num_hosteleria,5.0
PORTAZGO,2019,num_hosteleria,126.0
FONTARRON,2019,num_hosteleria,41.0
CONCEPCION,2019,num_hosteleria,148.0
ARAVACA,2019,num_hosteleria,79.0
PEÑA GRANDE,2019,num_hosteleria,122.0
HORCAJO,2019,num_hosteleria,12.0
ABRANTES,2019,num_hosteleria,107.0
ALUCHE,2019,num_hosteleria,305.0
VALDEBERNARDO,2019,num_hosteleria,47.0
ALMENARA,2019,num_hosteleria,111.0
AMPOSTA,2019,num_hosteleria,46.0
CANILLEJAS,2019,num_hosteleria,148.0
