Barrio,anyo,Inversion,airbnb,Superficie (Ha.),Población densidad (hab./Ha.),Tasa bruta de natalidad (‰),Población en etapas educativas,Tasa de crecimiento demográfico (porcentaje),Porcentaje de envejecimiento (Población mayor de 65 años/Población total),Paro registrado (número de personas registradas en SEPE en febrero),Tamaño medio del hogar,Valor catastral medio por inmueble de uso residencial,Hogares con un hombre solo mayor de 65 años,Hogares con una mujer sola mayor de 65 años,Edad media de la población,Número Habitantes,Población Mujeres,Total hogares,Personas con nacionalidad española,Personas con nacionalidad extranjera,Renta neta media anual de los hogares (Urban Audit),num_hogar_monoparental,anyo_timestamp,poblacion_noEstudios,poblacion_estudios_medios,poblacion_estudios_superiores,precio_vivienda
Valverde,2020,68450000.0,20,898.0,70.0,12.32,15223,2.01,11.76,2631,2.77,125805.0,369,1422,37.57,63201,33170,22777,55809,7392,43898.0,1206,2020-01-01,3562,11336,20511,3482.97
Ventas,2020,0.0,38,320.0,150.0,7.41,5526,0.74,23.68,2601,2.42,78466.0,672,2581,46.63,48099,26480,19885,40175,7924,26744.0,401,2020-01-01,7267,18557,9726,2717.39
Villaverde Alto - Casco Histórico de Villaverde,2020,0.0,14,925.0,49.0,9.56,7283,2.02,16.97,3576,2.76,59897.0,380,1465,42.17,45204,23716,16378,36229,8974,22697.0,480,2020-01-01,3807,20624,3228,1631.78
Vinateros,2020,0.0,4,59.0,284.0,7.24,1931,0.3,29.93,784,2.34,76114.0,268,1101,49.31,16868,9465,7218,14956,1912,29493.0,158,2020-01-01,2876,7381,1710,2367.34
Vista Alegre,2020,3658956.91,29,159.0,289.0,7.47,5803,2.13,22.77,2691,2.66,60820.0,503,2067,45.4,45975,25079,17277,35789,10186,28128.0,389,2020-01-01,2588,22087,3312,2128.06
Zofío,2020,5170698.8,4,77.0,180.0,8.24,1922,1.96,18.03,913,2.8,46504.0,120,488,43.21,13968,7459,4990,10645,3323,25753.0,117,2020-01-01,923,6578,1459,1990.79
Águilas,2020,0.0,5,361.0,143.0,6.78,6254,0.89,27.98,2451,2.48,61657.0,729,2475,48.04,51557,27640,20814,45616,5941,30303.0,442,2020-01-01,9837,17546,5525,2243.51
Ángeles,2020,0.0,4,194.0,161.0,7.43,3807,2.23,26.54,2050,2.59,69869.0,386,1535,47.29,31170,16656,12024,26188,4982,28413.0,256,2020-01-01,642,14745,3168,1868.58
Abrantes,2021,0.0,3,156.0,204.0,7.98,5136,3.85,0.17,2564,2.86,60154.0,273,1113,42.37,31664,16913,11175,24898,7049,28797.0,292,2021-01-01,4757,12082,4223,1951.76
Acacias,2021,1530972.0,50,107.0,344.0,7.03,3850,0.37,0.23,1840,2.37,118624.0,439,1505,46.71,36544,19739,15565,34172,2750,46102.0,297,2021-01-01,776,11416,12458,4276.75
Adelfas,2021,0.0,36,64.0,293.0,8.05,2519,1.67,0.22,838,2.42,137185.0,193,707,45.2,18719,10071,7772,17388,1397,45918.0,183,2021-01-01,1302,5740,6281,4258.4
Aeropuerto,2021,135725055.32,0,2963.0,0.64,4.27,278,2.61,0.15,134,2.7,52602.0,22,59,42.0,1924,934,705,1462,438,25585.0,22,2021-01-01,316,900,198,0.0
Alameda de Osuna,2021,3672230.89,10,197.0,101.0,6.46,3302,1.49,0.26,760,2.69,140451.0,247,621,45.16,19751,10269,7366,18579,1241,54037.0,236,2021-01-01,851,4415,7549,4015.02
Almagro,2021,0.0,59,94.0,212.0,8.98,2264,0.16,0.24,635,2.45,288240.0,299,837,46.24,19655,10931,8088,17064,2774,69696.0,160,2021-01-01,769,3351,3279,6778.41
Almenara,2021,0.0,27,100.0,230.0,8.06,2762,1.58,0.19,1971,2.45,112003.0,304,852,44.3,22869,12340,9400,19348,3655,30883.0,203,2021-01-01,3330,8769,5544,2802.31
Almendrales,2021,0.0,24,78.0,284.0,9.58,3329,3.39,0.16,1944,2.88,66992.0,204,764,41.68,22623,12037,7710,15702,6477,26470.0,166,2021-01-01,1158,9870,3104,2738.97
Aluche,2021,0.0,19,285.0,237.0,6.52,7634,1.6,0.29,4173,2.51,74516.0,989,3523,48.38,67328,36525,26836,55588,11827,31591.0,472,2021-01-01,11133,30111,9793,2530.65
Amposta,2021,4050826.82,0,37.0,240.0,8.71,1314,3.43,0.18,1000,2.6,47455.0,111,397,43.52,8926,4818,3408,7199,1675,22574.0,101,2021-01-01,1761,1595,704,1799.06
Apóstol Santiago,2021,0.0,8,121.0,129.0,4.97,1890,0.88,0.21,1011,2.67,117402.0,162,597,45.63,15538,8158,5835,13961,1594,37643.0,122,2021-01-01,616,6349,3849,3787.62
Arapiles,2021,5660677.42,54,58.0,427.0,6.71,2564,1.01,0.24,1073,2.17,142615.0,363,1424,46.01,24377,13436,11359,21691,3013,44265.0,182,2021-01-01,435,6891,11380,5304.27
Aravaca,2021,7562329.99,18,583.0,47.14,8.65,5427,2.5,0.15,876,3.16,228150.0,202,455,40.11,27647,14708,8706,24676,2827,69380.0,310,2021-01-01,1175,5746,11497,3891.01
Arcos,2021,2000000.0,11,131.0,189.0,7.81,3727,1.97,0.18,2070,2.73,79954.0,229,861,43.32,24705,13063,9033,21883,2808,29659.0,228,2021-01-01,2971,9373,1659,2806.11
Argüelles,2021,0.0,96,76.0,322.0,7.09,2444,1.36,0.25,1025,2.33,243764.0,369,1134,46.97,24315,13272,10490,21070,3353,54446.0,183,2021-01-01,1176,6514,11814,5166.85
Atalaya,2021,0.0,0,25.0,62.48,7.04,252,-0.83,0.23,58,2.71,232915.0,15,58,44.35,1581,894,573,1395,160,68336.0,25,2021-01-01,37,380,735,0.0
Atocha,2021,0.0,7,74.0,16.46,8.38,239,3.02,0.1,76,2.79,172664.0,4,17,39.1,1450,736,434,1148,63,38971.0,11,2021-01-01,72,476,449,4168.55
Bellas Vistas,2021,0.0,40,72.0,418.0,9.65,3551,2.54,0.18,1936,2.48,94666.0,373,1206,43.22,29568,16062,12039,22697,7198,32298.0,192,2021-01-01,2993,6348,7242,3446.77
Berruguete,2021,0.0,29,61.0,426.0,9.6,3188,3.29,0.16,1761,2.48,85647.0,275,953,42.51,25796,14263,10437,19432,6411,30201.0,219,2021-01-01,2863,10787,6382,3273.71
Buenavista,2021,33196391.52,15,561.0,85.53,8.23,9569,2.01,0.14,3075,2.76,74795.0,353,997,39.87,48194,24926,17395,41133,6877,32278.0,675,2021-01-01,5281,20221,5694,2355.22
Butarque,2021,7884115.72,3,638.0,31.41,11.06,4857,5.94,0.09,1477,2.87,77567.0,84,223,36.12,20766,10701,6967,17073,2952,30538.0,388,2021-01-01,1925,7949,3080,1874.74
Campamento,2021,1853296.9,6,919.0,21.59,7.97,2568,2.9,0.23,1168,2.65,75547.0,247,778,45.67,19669,10595,7481,15686,4160,32304.0,147,2021-01-01,2823,8658,1977,2156.49
Canillas,2021,6201254.98,52,252.0,162.0,6.19,4930,0.64,0.26,2082,2.53,123853.0,443,1701,47.56,40431,21599,16155,36881,3957,41118.0,332,2021-01-01,595,15558,4569,3354.6
Canillejas,2021,0.0,17,160.0,182.0,7.46,3728,1.61,0.23,2019,2.64,75685.0,349,1110,45.7,29065,15436,11011,24228,4819,32291.0,233,2021-01-01,4713,12067,4801,2417.52
Casa de Campo,2021,19402934.0,17,1746.0,7.56,7.18,1314,1.6,0.25,715,2.35,110161.0,203,717,48.13,13150,7042,5624,11921,1280,42796.0,109,2021-01-01,1044,4228,2575,3420.86
Casco Histórico de Barajas,2021,2350093.0,14,55.0,140.0,9.58,906,1.55,0.19,572,2.42,104946.0,88,239,44.25,7540,3930,3175,6206,1477,30335.0,70,2021-01-01,1067,3705,1216,2697.8
Casco Histórico de Vallecas,2021,159938599.67,14,4305.0,9.51,8.79,6831,1.66,0.16,3989,2.74,61081.0,385,1220,41.37,40384,21022,14957,33624,7332,25118.0,414,2021-01-01,5368,6915,3445,1975.6
Casco Histórico de Vicálvaro,2021,0.0,7,2149.0,16.59,8.51,5315,2.41,0.21,3113,2.67,57164.0,446,1374,43.93,35675,18477,13375,28223,7443,24976.0,339,2021-01-01,2925,14128,1667,2211.77
Castellana,2021,0.0,57,77.0,224.0,8.19,1998,1.01,0.23,468,2.49,348100.0,247,692,45.11,17197,9684,6960,14185,3112,72399.0,93,2021-01-01,550,2256,8541,7487.38
Castilla,2021,1400000.0,19,216.0,79.71,7.8,2372,2.04,0.23,689,2.57,159048.0,224,698,45.02,17180,9226,6715,15604,1623,58137.0,112,2021-01-01,752,4175,6616,4187.83
Castillejos,2021,0.0,56,70.0,296.0,8.37,1988,1.56,0.24,1051,2.21,154880.0,353,1080,46.67,20653,11382,9440,17519,3316,46951.0,113,2021-01-01,397,6425,8372,4480.5
Chopera,2021,9670784.67,48,57.0,357.0,8.99,2174,1.46,0.22,1339,2.34,93768.0,267,1018,46.18,20187,11030,8653,17402,2885,33284.0,141,2021-01-01,632,8093,5427,3830.66
Ciudad Jardín,2021,0.0,19,76.0,248.0,8.95,2332,1.34,0.23,953,2.33,140763.0,250,943,45.83,18690,10353,8097,16562,2331,45521.0,172,2021-01-01,1046,5686,2869,4464.58
Ciudad Universitaria,2021,5050009.0,13,1425.0,11.5,6.31,2034,0.83,0.25,549,2.63,276164.0,203,652,46.12,16234,8789,6225,14742,1652,60565.0,113,2021-01-01,671,3714,8010,3755.05
Colina,2021,0.0,8,56.0,116.0,8.06,1002,2.05,0.23,282,2.47,161020.0,74,247,44.81,6389,3519,2640,5825,694,54615.0,101,2021-01-01,282,1620,2942,4544.25
Comillas,2021,1489015.0,27,67.0,345.0,8.28,2568,2.63,0.23,1769,2.39,64377.0,368,1261,46.3,22820,12303,9633,18442,4559,28516.0,199,2021-01-01,3154,5570,4915,2756.18
Corralejos,2021,0.0,3,468.0,16.56,8.31,1880,1.45,0.1,268,2.98,181788.0,34,87,37.75,7690,3902,2605,7251,503,68525.0,140,2021-01-01,271,1562,3081,3660.35
Cortes,2021,24690435.679,402,59.0,182.0,5.55,772,2.7,0.17,637,1.98,177585.0,213,375,44.78,10846,5436,5449,8147,2624,37725.0,77,2021-01-01,633,3292,5215,4989.95
Costillares,2021,0.0,3,143.0,156.0,7.1,3394,1.06,0.22,818,2.78,198302.0,199,750,44.35,22146,11768,8011,21013,1232,65144.0,229,2021-01-01,777,5059,8364,4400.22
Cuatro Caminos,2021,0.0,74,119.0,297.0,8.31,3695,1.67,0.22,1628,2.31,144046.0,468,1721,45.64,34986,19186,15227,29756,5436,44644.0,253,2021-01-01,2160,10816,15204,4412.33
Cuatro Vientos,2021,0.0,3,543.0,10.83,9.63,1348,2.29,0.06,383,2.65,112050.0,27,57,36.12,5909,2960,2223,5453,428,36806.0,134,2021-01-01,349,2175,1493,3125.68
Delicias,2021,0.0,53,105.0,268.0,8.87,3908,2.06,0.17,1425,2.41,117246.0,311,1018,43.16,28518,15093,11720,24851,3382,41535.0,257,2021-01-01,1932,9039,11004,4516.38
El Cañaveral,2021,169854051.33,0,1057.0,2.27,27.49,586,44.2,0.03,185,2.46,120902.0,4,2,33.2,4421,2172,975,2217,181,31445.0,33,2021-01-01,103,1873,1172,2147.81
El El Salvador,2021,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,2021-01-01,0,0,0,0.0
El Goloso,2021,5030819.28,1,2649.0,7.19,14.97,6145,2.83,0.08,523,3.29,159560.0,50,101,33.53,19020,9628,5790,17886,1156,61919.0,479,2021-01-01,539,3201,7571,5197.95
El Pardo,2021,0.0,1,18758.0,0.19,7.8,416,0.52,0.25,166,2.63,108634.0,51,167,47.52,3463,1732,1320,3327,145,36745.0,34,2021-01-01,480,1593,698,0.0
El Plantío,2021,0.0,1,353.0,7.93,3.92,523,-0.32,0.2,74,3.21,504935.0,31,39,42.57,2911,1577,872,2533,266,89215.0,29,2021-01-01,110,613,1290,4576.47
El Viso,2021,10620000.0,17,171.0,102.0,9.56,2449,0.75,0.22,453,2.84,418983.0,195,525,44.46,17405,9570,6143,15423,2010,80447.0,101,2021-01-01,532,2187,8566,6861.72
Embajadores,2021,2482030.95,865,103.0,455.0,7.32,3914,3.88,0.14,3831,2.09,98277.0,657,1561,42.69,47528,22602,22564,33845,13202,27655.0,351,2021-01-01,4908,10579,17720,4585.04
Ensanche de Vallecas,2021,31460155.05,0,634.0,77.07,17.25,12102,6.43,0.05,3162,2.52,102635.0,170,247,33.69,50396,25611,19407,43398,5474,33626.0,1098,2021-01-01,2382,11290,12372,2841.85
Entrevías,2021,28358398.23,10,597.0,59.47,8.74,5142,2.33,0.19,3726,2.77,45156.0,345,1293,43.5,35386,18396,12801,29470,6046,23086.0,305,2021-01-01,8436,15325,970,1712.29
Estrella,2021,0.0,9,103.0,228.0,6.56,3031,0.21,0.31,747,2.67,183872.0,256,1005,48.67,23134,12458,8735,22262,1092,60386.0,137,2021-01-01,1129,6263,9027,4010.22
Fontarrón,2021,0.0,16,96.0,182.0,7.33,2180,2.19,0.25,1268,2.53,72639.0,231,941,46.94,17372,9483,6938,14783,2736,28718.0,160,2021-01-01,1032,7815,2838,2175.53
Fuente del Berro,2021,0.0,29,85.0,249.0,7.61,2315,0.84,0.24,1038,2.27,134879.0,341,1153,46.72,21055,11851,9345,18490,2759,42630.0,168,2021-01-01,281,6673,9000,4734.29
Fuentelarreina,2021,0.0,0,138.0,23.93,7.0,562,1.31,0.26,82,2.93,325857.0,39,121,45.31,3373,1850,1129,3057,251,84239.0,25,2021-01-01,98,714,686,4204.21
Gaztambide,2021,0.0,67,51.0,461.0,8.05,2219,1.9,0.25,988,2.19,152061.0,376,1350,46.87,23067,12901,10637,20423,2906,45112.0,150,2021-01-01,1240,6201,11300,5086.21
Goya,2021,0.0,81,77.0,389.0,8.99,3212,0.99,0.24,1152,2.25,193454.0,475,1588,46.23,29603,16730,13313,25410,4535,51783.0,229,2021-01-01,420,7912,14535,5587.62
Guindalera,2021,2400000.0,77,160.0,264.0,7.25,4835,1.66,0.24,1926,2.37,147949.0,513,2048,46.48,42126,23051,17851,37423,4883,47779.0,311,2021-01-01,2150,11916,17205,4669.41
Hellín,2021,2151484.88,5,55.0,170.0,7.24,1172,2.0,0.23,874,2.51,62296.0,139,533,46.57,9419,5095,3721,7991,1351,24923.0,74,2021-01-01,1896,3382,916,1699.42
Hispanoamérica,2021,0.0,31,171.0,187.0,10.32,4740,0.97,0.25,1087,2.57,214148.0,382,1451,45.94,31771,17500,12461,29531,2511,66079.0,254,2021-01-01,1108,7686,12426,5158.11
Horcajo,2021,0.0,0,75.0,86.27,6.27,1072,1.58,0.09,466,2.93,140585.0,27,68,40.01,6396,3337,2195,6122,313,46289.0,84,2021-01-01,457,1975,950,0.0
Ibiza,2021,0.0,65,49.0,447.0,9.3,2727,1.59,0.25,920,2.35,191962.0,306,1156,46.67,21685,12079,9376,19219,2774,48231.0,184,2021-01-01,1187,6090,4489,5508.11
Imperial,2021,60207466.0,49,97.0,237.0,8.1,2637,0.62,0.22,1166,2.36,118225.0,275,943,46.32,22702,12203,9689,21147,1761,44101.0,170,2021-01-01,1741,7178,9124,3325.56
Justicia,2021,0.0,376,74.0,244.0,7.39,1419,4.94,0.16,1066,2.03,204578.0,273,622,44.09,18304,8966,8856,13979,4042,43045.0,131,2021-01-01,910,3568,6984,6229.04
La Concepción,2021,1746324.51,19,89.0,239.0,7.81,2575,1.41,0.24,1271,2.3,98863.0,344,1312,46.8,20831,11581,9207,18073,3079,35034.0,222,2021-01-01,1875,8140,6473,3753.9
La Paz,2021,0.0,6,215.0,156.0,7.57,3793,-0.36,0.33,1140,2.67,146885.0,393,1260,49.33,33145,17707,12585,31796,1848,59580.0,198,2021-01-01,2112,6277,14455,3377.56
Legazpi,2021,7065565.65,13,141.0,140.0,11.66,3754,0.8,0.09,841,2.58,150736.0,101,257,38.8,19660,10043,7686,18383,1427,51613.0,248,2021-01-01,740,3104,6834,5493.48
Lista,2021,0.0,52,52.0,408.0,9.06,2310,1.19,0.24,815,2.28,188251.0,302,1120,45.83,20984,11893,9315,18009,3202,51492.0,168,2021-01-01,940,3680,9411,6095.97
Los Los Cármenes,2021,0.0,16,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,2021-01-01,0,0,0,0.0
Los Los Jerónimos,2021,0.0,37,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,2021-01-01,0,0,0,0.0
Los Rosales,2021,0.0,8,154.0,247.0,7.69,5697,1.37,0.17,3192,2.87,64249.0,313,997,42.5,37961,19739,13277,30330,7777,29137.0,315,2021-01-01,6270,15484,3506,1818.14
Lucero,2021,4350000.0,19,168.0,219.0,7.77,4594,1.9,0.22,2712,2.58,76014.0,452,1659,45.53,36736,19601,14243,29968,6815,30910.0,288,2021-01-01,5700,11334,6037,2334.97
Marroquina,2021,4651636.6,9,179.0,152.0,5.06,2676,-0.1,0.28,1457,2.5,100556.0,349,1319,49.02,26786,14434,10901,25384,1847,41108.0,204,2021-01-01,3080,9672,7645,2783.03
Media Legua,2021,4915770.56,3,100.0,180.0,7.43,2058,0.45,0.28,1218,2.49,103175.0,207,931,48.12,17724,9702,7210,16074,1877,36404.0,156,2021-01-01,2491,7058,4363,2619.85
Mirasierra,2021,5264379.74,11,699.0,48.69,12.85,7447,3.43,0.15,1077,3.12,215755.0,189,568,39.12,34633,18076,10898,32259,1787,69838.0,452,2021-01-01,1113,4921,14922,4012.29
Moscardó,2021,0.0,33,91.0,299.0,8.04,3490,2.9,0.18,2205,2.75,56261.0,307,1122,43.68,26758,14260,9881,19209,7918,26986.0,195,2021-01-01,4105,9796,3819,2033.62
Niño Jesús,2021,0.0,15,64.0,240.0,8.38,2318,0.77,0.27,451,2.71,250770.0,181,677,46.41,15361,8367,5702,14526,935,67780.0,112,2021-01-01,481,3552,7608,5080.49
Nueva España,2021,0.0,17,179.0,140.0,11.44,4286,1.44,0.21,671,2.69,269836.0,303,870,43.27,24791,13593,9315,22619,2396,74482.0,202,2021-01-01,616,5158,12472,6351.07
Numancia,2021,6296296.91,53,185.0,262.0,9.05,6280,2.32,0.18,4435,2.64,53393.0,557,1768,43.45,48337,25486,18308,37444,10966,25457.0,415,2021-01-01,8760,21944,6160,2106.4
Opañel,2021,0.0,24,111.0,304.0,7.64,4015,1.89,0.21,2418,2.55,64781.0,433,1558,44.83,33834,18366,13211,26151,7529,28721.0,261,2021-01-01,3918,15404,6136,2532.89
Orcasitas,2021,1400000.0,4,136.0,171.0,6.35,3942,1.46,0.19,1946,2.75,56455.0,227,841,43.47,23194,12269,8437,20957,2215,28256.0,225,2021-01-01,1856,9823,2352,1747.23
Orcasur,2021,4028298.49,9,139.0,102.0,10.73,2316,2.47,0.14,1550,2.97,67875.0,107,321,40.82,14212,7336,4768,11788,2366,25933.0,140,2021-01-01,1945,4712,1563,1761.21
Pacífico,2021,8954912.26,66,76.0,445.0,6.33,3497,0.58,0.25,1547,2.28,122684.0,500,1798,47.63,33226,18347,14782,30566,3201,43434.0,263,2021-01-01,2231,7169,14050,4113.3
Palacio,2021,88882399.85000001,638,147.0,161.0,5.25,1825,2.88,0.19,1703,2.04,139470.0,452,1020,45.78,23729,12020,11583,19220,4372,36357.0,174,2021-01-01,1735,7579,4781,5034.49
Palomas,2021,0.0,5,113.0,60.53,6.6,1394,0.72,0.15,270,3.08,261999.0,45,96,40.27,6909,3542,2219,6105,734,81073.0,84,2021-01-01,148,1468,2998,3931.51
Palomeras Bajas,2021,21087776.03,19,172.0,237.0,6.71,5238,1.84,0.16,3434,2.7,54497.0,378,1254,43.42,40616,21593,15164,34556,6354,29605.0,354,2021-01-01,6374,18199,5657,1963.09
Palomeras Sureste,2021,0.0,12,311.0,139.0,7.56,5975,1.33,0.18,3666,2.68,56337.0,428,1397,43.78,43064,22570,16112,37545,5617,27810.0,420,2021-01-01,5808,17343,3918,1748.82
Palos de la Frontera,2021,0.0,111,65.0,405.0,7.83,2542,1.87,0.21,1567,2.2,101036.0,350,1292,45.73,25931,13793,11923,22189,4099,35874.0,205,2021-01-01,2293,8832,8955,4074.57
Pavones,2021,0.0,2,101.0,93.0,6.27,1105,2.36,0.25,663,2.84,102125.0,98,353,46.53,8997,4904,3294,8173,1182,34991.0,62,2021-01-01,1425,3677,1778,2225.09
Peñagrande,2021,0.0,16,289.0,156.0,6.95,5905,0.96,0.26,2120,2.62,138649.0,550,1685,46.67,44532,23880,17145,41196,3742,46883.0,447,2021-01-01,4545,15751,14398,3371.99
Pilar,2021,0.0,21,136.0,344.0,7.53,5076,0.93,0.29,2445,2.38,84403.0,659,2514,48.34,46182,25118,19668,41080,5775,34532.0,337,2021-01-01,6514,17071,12343,3347.02
Pinar del Rey,2021,0.0,29,266.0,200.0,6.9,6557,0.89,0.26,3481,2.48,100322.0,684,2506,47.14,52729,28494,21446,46868,6293,34494.0,531,2021-01-01,7654,20541,11552,2955.26
Piovera,2021,0.0,13,314.0,47.58,5.96,2679,0.19,0.14,490,3.04,391748.0,94,224,40.95,14870,7802,4914,12678,2261,81938.0,165,2021-01-01,436,3081,6767,4904.19
Portazgo,2021,0.0,4,125.0,233.0,9.32,3998,2.16,0.21,2702,2.66,48734.0,313,1217,44.66,28849,15282,10881,24373,4595,24622.0,244,2021-01-01,4698,12547,2675,1792.21
Pradolongo,2021,1530972.0,7,110.0,163.0,8.39,2500,2.36,0.17,1522,2.96,48294.0,161,570,42.12,17987,9531,6028,11350,6497,23959.0,129,2021-01-01,3625,8456,1411,1940.2
Prosperidad,2021,0.0,44,104.0,355.0,8.23,4104,0.79,0.25,1852,2.3,131091.0,493,1996,46.84,36499,20193,16066,32938,4002,45620.0,274,2021-01-01,1985,11315,16133,4334.71
Pueblo Nuevo,2021,6822426.26,31,232.0,274.0,7.43,7775,2.24,0.22,4316,2.63,83763.0,770,2632,45.23,63038,33954,24185,51565,11956,30975.0,488,2021-01-01,9065,23088,11757,2505.02
Puerta Bonita,2021,0.0,17,161.0,223.0,9.21,5262,3.03,0.18,3208,2.83,59328.0,384,1225,42.7,36095,19150,12701,27165,8767,26363.0,319,2021-01-01,6082,16282,4304,2054.07
Puerta del Ángel,2021,0.0,62,138.0,308.0,7.49,4834,1.5,0.2,3433,2.41,78796.0,551,2042,45.11,42222,22763,17587,33602,8760,28661.0,342,2021-01-01,6011,16676,9203,2575.67
Quintana,2021,0.0,41,72.0,348.0,7.31,2817,2.13,0.22,1668,2.4,89733.0,329,1390,45.9,24757,13764,10460,20150,5001,30972.0,211,2021-01-01,2787,10672,5195,3221.55
Recoletos,2021,10511610.304,70,87.0,181.0,7.98,1837,0.71,0.23,419,2.37,394062.0,280,612,45.99,15702,8622,6693,12963,2883,80387.0,103,2021-01-01,427,3533,8350,8254.5
Rejas,2021,0.0,32,502.0,34.49,10.36,3451,3.57,0.11,939,2.53,102298.0,137,371,38.76,17200,8856,6844,13980,3319,39137.0,293,2021-01-01,998,4033,5353,2657.17
Rosas,2021,0.0,19,930.0,34.2,4.76,5139,0.37,0.14,1522,2.85,117475.0,189,545,41.94,31611,16445,11138,29908,1885,44886.0,334,2021-01-01,2448,7960,8185,3499.95
Ríos Rosas,2021,0.0,57,98.0,283.0,9.28,3149,0.68,0.23,1057,2.26,157104.0,376,1444,45.77,27352,15323,12221,24351,3218,50373.0,234,2021-01-01,452,4474,13413,5240.96
San Cristóbal,2021,0.0,5,108.0,156.0,11.53,3180,5.14,0.12,2085,3.25,28247.0,127,490,38.35,17059,8679,5198,10972,5925,20365.0,125,2021-01-01,3204,7590,884,1375.61
San Diego,2021,51903334.0,73,107.0,410.0,10.24,6445,5.22,0.14,4309,2.72,49475.0,438,1354,40.55,43815,22912,16135,29917,13982,21859.0,417,2021-01-01,2512,20476,4652,1953.47
San Fermín,2021,0.0,13,148.0,163.0,8.31,4206,1.41,0.14,2148,2.89,63310.0,200,584,40.45,23915,12499,8316,19111,4890,26284.0,300,2021-01-01,2992,4195,2686,1941.35
San Isidro,2021,3684983.99,41,190.0,211.0,8.43,5298,2.7,0.19,3853,2.61,62203.0,461,1577,43.74,39889,21226,15312,31445,8578,27032.0,318,2021-01-01,6773,17329,5465,2554.98
San Juan Bautista,2021,0.0,7,101.0,126.0,8.17,1955,1.89,0.22,551,2.58,170820.0,132,488,44.28,12544,6682,4939,11360,1364,57584.0,161,2021-01-01,546,2155,5649,3909.33
San Pascual,2021,10552463.67,13,105.0,172.0,6.51,2250,-0.13,0.27,977,2.4,118809.0,247,970,47.62,17899,9853,7545,16522,1585,42809.0,185,2021-01-01,1871,6343,5034,4252.92
Santa Eugenia,2021,0.0,4,208.0,119.0,6.32,2881,1.45,0.22,1700,2.72,67096.0,216,780,45.79,24395,12706,9063,22061,2623,37373.0,164,2021-01-01,922,4872,4845,2110.49
Simancas,2021,0.0,27,228.0,126.0,8.27,4343,2.76,0.16,2126,2.59,79049.0,286,1084,42.45,28616,15070,11063,23332,5365,32113.0,333,2021-01-01,3656,5635,5671,2553.12
Sol,2021,15178772.0,528,45.0,171.0,4.55,486,3.81,0.17,544,1.99,200400.0,152,266,44.63,8046,3901,3822,5391,2231,32599.0,50,2021-01-01,490,1899,3354,9215.34
Timón,2021,0.0,7,509.0,25.23,11.41,2676,3.68,0.11,701,2.7,128612.0,75,195,38.09,13366,6974,4755,11459,1394,41023.0,236,2021-01-01,884,4594,1711,2639.48
Trafalgar,2021,0.0,116,61.0,409.0,8.69,2543,1.32,0.21,1163,2.11,141558.0,398,1267,45.3,24752,13670,11859,21439,3584,43792.0,181,2021-01-01,430,6770,12096,5626.61
Universidad,2021,3930789.81,738,95.0,353.0,6.91,2503,5.2,0.16,2257,1.98,125155.0,522,1213,43.68,33580,16814,16913,25805,7613,33209.0,204,2021-01-01,2197,10713,15414,5132.6
Valdeacederas,2021,3100000.0,26,116.0,228.0,9.7,3406,1.99,0.14,1970,2.47,75257.0,267,788,41.73,26743,14273,10763,20215,6330,28996.0,209,2021-01-01,3325,11154,6196,3139.79
Valdebernardo,2021,0.0,0,256.0,69.8,5.36,2348,1.11,0.12,1438,2.91,97422.0,106,276,41.81,17628,9235,6136,16560,1274,40074.0,144,2021-01-01,641,6740,4151,2620.36
Valdefuentes,2021,9359834.55,44,1676.0,36.96,16.13,16682,6.76,0.07,2471,2.92,183982.0,212,474,34.6,63433,32376,21182,55597,6334,55523.0,1232,2021-01-01,539,11525,25746,3364.21
Valdemarín,2021,0.0,1,330.0,21.07,11.11,1846,3.38,0.11,147,3.51,337603.0,41,59,36.7,6888,3707,1984,6289,668,88243.0,117,2021-01-01,184,984,1246,3987.21
Valderrivas,2021,0.0,0,64.0,282.0,7.11,5075,0.04,0.06,789,2.87,99183.0,55,132,35.67,18008,9230,6335,17455,695,41470.0,373,2021-01-01,694,3412,3788,3018.37
Valdezarza,2021,0.0,18,140.0,218.0,7.98,3836,2.27,0.25,1650,2.44,100195.0,387,1511,46.28,30223,16406,12460,26741,3664,35983.0,332,2021-01-01,3560,9730,8462,3224.64
Vallehermoso,2021,0.0,13,107.0,191.0,8.12,2303,0.92,0.28,669,2.41,213972.0,270,1093,47.79,20188,11481,8479,18823,1580,60074.0,119,2021-01-01,701,3341,10324,4882.43
Valverde,2021,164743933.83,23,898.0,72.0,12.15,15357,2.29,0.12,3375,2.8,125799.0,368,1460,37.7,64336,33687,23115,56488,8180,44503.0,1175,2021-01-01,4533,17445,19582,3454.15
Ventas,2021,69151852.16,45,320.0,153.0,6.97,5496,1.63,0.23,3369,2.44,78384.0,680,2550,46.52,48631,26797,20069,40192,8699,29319.0,378,2021-01-01,6838,21850,9817,2762.8
