Barrio,anyo,Inversion,airbnb,Superficie (Ha.),Población densidad (hab./Ha.),Tasa bruta de natalidad (‰),Población en etapas educativas,Tasa de crecimiento demográfico (porcentaje),Porcentaje de envejecimiento (Población mayor de 65 años/Población total),Paro registrado (número de personas registradas en SEPE en febrero),Tamaño medio del hogar,Valor catastral medio por inmueble de uso residencial,Hogares con un hombre solo mayor de 65 años,Hogares con una mujer sola mayor de 65 años,Edad media de la población,Número Habitantes,Población Mujeres,Total hogares,Personas con nacionalidad española,Personas con nacionalidad extranjera,Renta neta media anual de los hogares (Urban Audit),num_hogar_monoparental,anyo_timestamp,poblacion_noEstudios,poblacion_estudios_medios,poblacion_estudios_superiores,precio_vivienda
Casco Histórico de Vicálvaro,2020,0.0,4,2149.0,16.0,7.85,5239,1.79,21.35,2457,2.64,57426.0,433,1382,43.99,34816,18035,13210,27933,6883,24578.0,355,2020-01-01,7753,7380,3379,2140.71
Castellana,2020,0.0,47,77.0,221.0,8.86,1995,1.04,23.15,384,2.48,348127.0,240,684,45.22,17124,9685,6900,14308,2816,72529.0,95,2020-01-01,597,4156,8627,7975.95
Castilla,2020,0.0,18,216.0,78.0,7.94,2282,0.05,22.59,567,2.54,158387.0,229,682,45.14,16880,9089,6640,15447,1433,56554.0,132,2020-01-01,815,2412,8255,4042.11
Castillejos,2020,0.0,49,70.0,291.0,8.46,2006,0.73,23.79,731,2.19,155346.0,349,1066,46.7,20513,11312,9351,17420,3093,46596.0,136,2020-01-01,502,4158,6552,4448.78
Chopera,2020,5762888.95,44,57.0,352.0,9.4,2153,0.98,22.83,943,2.33,93838.0,246,1019,46.36,19993,10929,8585,17328,2665,32349.0,150,2020-01-01,2181,8166,4048,3643.17
Ciudad Jardín,2020,0.0,14,76.0,245.0,10.61,2292,0.83,23.11,706,2.33,140902.0,240,926,45.9,18642,10409,8002,16497,2145,44437.0,191,2020-01-01,1125,5791,7271,4400.14
Ciudad Universitaria,2020,3500000.0,10,1425.0,11.0,7.73,2064,1.01,25.63,413,2.65,275531.0,205,638,46.11,16260,8862,6140,14684,1575,61444.0,123,2020-01-01,736,2236,6269,4360.67
Colina,2020,0.0,5,56.0,114.0,9.63,994,1.56,22.53,245,2.49,160581.0,69,240,44.59,6387,3523,2564,5741,646,53789.0,103,2020-01-01,312,1669,2962,4259.03
Comillas,2020,0.0,26,67.0,336.0,8.15,2492,0.69,23.96,1338,2.35,64374.0,343,1246,46.66,22403,12173,9528,18339,4064,32241.0,217,2020-01-01,3372,10232,3907,2503.79
Corralejos,2020,0.0,3,468.0,16.0,10.3,1919,1.74,10.05,230,2.96,181780.0,31,82,37.48,7642,3896,2580,7134,508,67321.0,150,2020-01-01,304,1573,3079,3613.8
Cortes,2020,28137297.51,322,59.0,177.0,7.61,762,-0.45,16.96,533,1.94,178906.0,201,381,44.96,10484,5249,5406,8064,2420,37427.0,91,2020-01-01,674,3281,2304,5494.3
Costillares,2020,0.0,1,143.0,154.0,6.68,3447,0.0,21.85,702,2.77,198151.0,197,719,44.08,22010,11698,7932,20867,1143,66648.0,238,2020-01-01,829,5132,8309,4158.38
Cuatro Caminos,2020,0.0,44,119.0,292.0,8.39,3718,1.03,22.65,1254,2.3,144116.0,473,1740,45.7,34608,19028,15031,29450,5158,44416.0,264,2020-01-01,2322,10978,15161,4440.52
Cuatro Vientos,2020,0.0,3,543.0,11.0,12.27,1351,1.51,6.16,317,2.62,112050.0,21,52,35.53,5748,2839,2193,5393,355,35492.0,133,2020-01-01,352,2169,1483,3199.68
Delicias,2020,0.0,50,105.0,262.0,8.78,3957,0.67,16.94,1099,2.4,116209.0,313,1012,43.05,27658,14778,11525,24508,3150,40446.0,281,2020-01-01,2046,9108,7176,3845.47
El Cañaveral,2020,102713904.0,0,1057.0,1.0,28.28,378,47.27,3.2,94,2.49,119832.0,4,1,32.42,1530,745,615,1401,129,19674.0,18,2020-01-01,86,1051,559,1672.79
El El Salvador,2020,0.0,7,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,2020-01-01,0,0,0,0.0
El Goloso,2020,5250000.0,1,2649.0,7.0,18.7,6162,3.08,7.91,402,3.28,159467.0,48,97,33.05,18511,9383,5638,17517,994,60056.0,507,2020-01-01,677,3234,7516,5244.35
El Pardo,2020,0.0,1,18758.0,0.18,7.24,407,0.0,25.71,140,2.63,108663.0,50,169,47.61,3454,1750,1315,3313,141,40657.0,31,2020-01-01,527,1589,681,0.0
El Plantío,2020,0.0,1,353.0,8.0,9.41,556,3.18,19.3,59,3.28,499623.0,32,37,42.01,2808,1507,856,2547,261,89015.0,29,2020-01-01,108,602,1230,3146.36
El Viso,2020,0.0,16,171.0,101.0,9.81,2455,0.91,21.64,332,2.84,418697.0,206,534,44.4,17302,9519,6082,15395,1907,88194.0,103,2020-01-01,558,2246,8507,6413.03
Embajadores,2020,2289692.35,753,103.0,438.0,7.19,3989,1.4,14.07,2704,2.05,98368.0,646,1588,42.81,45259,21869,22089,33388,11869,26762.0,395,2020-01-01,5230,10490,17385,4481.49
Ensanche de Vallecas,2020,18712726.67,0,634.0,72.0,18.31,11499,4.95,4.27,2412,2.48,101367.0,149,206,33.19,45828,23262,18461,41361,4467,33053.0,1093,2020-01-01,2430,17125,11877,2331.86
Entrevías,2020,1901228.42,6,597.0,58.0,8.36,5073,2.07,19.41,2994,2.74,45158.0,336,1282,43.7,34698,18021,12686,29327,5371,21623.0,291,2020-01-01,8902,15074,2080,1660.4
Estrella,2020,0.0,7,103.0,227.0,7.3,3065,0.29,30.68,626,2.68,183909.0,251,961,48.48,23306,12508,8691,22345,961,59503.0,142,2020-01-01,1209,3723,7618,4076.81
