E. Edificación y Vivienda;;;;;;
Mercado de la vivienda;;;;;;
Compra-Venta de Viviendas;;;;;;
Estadística registral inmobiliaria: datos anuales por distritos;;;;;;
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda;;;;;;
;;2019;2020;2021;2022;2023
;;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2
;;Total;Total;Total;Total;Total
09. Moncloa-Aravaca;094. Valdezarza;3.187,92;3.224,64;3.004,08;3.238,76;3.303,39
09. Moncloa-Aravaca;095. Valdemarín;4.806,85;3.987,21;4.563,39;5.168,96;4.994,74
09. Moncloa-Aravaca;096. El Plantío;3.146,36;4.576,47;4.267,15;4.544,10;0
09. Moncloa-Aravaca;097. Aravaca;4.059,23;3.891,01;3.993,14;4.361,71;4.564,22
10. Latina;10. Latina;2.309,59;2.423,18;2.340,85;2.507,78;2.636,10
10. Latina;101. Los Cármenes;2.468,47;2.319,70;2.465,68;2.672,55;2.722,75
10. Latina;102. Puerta del Ángel;2.574,74;2.575,67;2.611,52;2.796,26;2.883,88
10. Latina;103. Lucero;2.230,17;2.334,97;2.294,92;2.408,06;2.608,14
10. Latina;104. Aluche;2.178,89;2.530,65;2.247,29;2.362,33;2.484,34
10. Latina;105. Campamento;2.078,73;2.156,49;2.159,81;2.379,49;2.502,57
10. Latina;106. Cuatro Vientos;3.199,68;3.125,68;3.086,26;3.092,20;3.375,62
10. Latina;107. Águilas;2.243,51;2.212,08;2.153,24;2.350,98;2.491,21
11. Carabanchel;11. Carabanchel;2.178,48;2.352,41;2.335,49;2.454,64;2.480,02
11. Carabanchel;111. Comillas;2.503,79;2.756,18;2.658,56;2.838,59;2.781,64
11. Carabanchel;112. Opañel;2.278,29;2.532,89;2.433,51;2.500,72;2.468,48
11. Carabanchel;113. San Isidro;2.211,32;2.554,98;2.473,89;2.630,78;2.600,56
11. Carabanchel;114. Vista Alegre;2.128,06;2.122,10;2.193,55;2.236,79;2.443,73
11. Carabanchel;115. Puerta Bonita;1.987,58;2.054,07;2.054,57;2.125,93;2.196,36
11. Carabanchel;116. Buenavista;2.306,07;2.355,22;2.365,26;2.637,71;2.678,66
11. Carabanchel;117. Abrantes;1.901,37;1.951,76;2.013,23;2.210,36;2.130,72
12. Usera;12. Usera;1.896,40;2.323,82;2.065,27;2.183,17;2.303,88
12. Usera;121. Orcasitas;1.750,82;1.747,23;1.865,41;1.654,28;1.758,15
12. Usera;122. Orcasur;1.678,25;1.761,21;1.909,23;2.850,80;0
12. Usera;123. San Fermín;1.851,29;1.941,35;1.876,29;2.044,48;2.036,52
12. Usera;124. Almendrales;2.023,67;2.738,97;2.561,77;2.409,57;2.687,09
12. Usera;125. Moscardó;2.059,12;2.033,62;2.131,12;2.379,49;2.700,19
12. Usera;126. Zofío;1.990,79;1.920,80;1.755,15;2.107,67;2.103,87
12. Usera;127. Pradolongo;1.862,41;1.940,20;1.871,77;0;0
13. Puente de Vallecas;13. Puente de Vallecas;1.841,52;1.908,39;1.908,50;2.110,69;2.146,86
13. Puente de Vallecas;131. Entrevías;1.660,40;1.712,29;1.735,19;1.826,99;1.963,83
13. Puente de Vallecas;132. San Diego;1.930,50;1.953,47;2.014,65;2.143,48;2.278,05
13. Puente de Vallecas;133. Palomeras Bajas;1.870,45;1.963,09;1.995,50;2.128,24;2.200,42
13. Puente de Vallecas;134. Palomeras Sureste;1.648,98;1.748,82;1.832,09;2.148,95;1.994,56
13. Puente de Vallecas;135. Portazgo;1.773,79;1.792,21;1.827,73;2.061,83;2.039,79
13. Puente de Vallecas;136. Numancia;2.003,37;2.106,40;1.933,99;2.194,78;2.232,74
14. Moratalaz;14. Moratalaz;2.551,94;2.499,60;2.593,33;2.767,30;2.837,45
14. Moratalaz;141. Pavones;1.997,15;2.225,09;2.117,70;2.357,79;2.525,56
14. Moratalaz;142. Horcajo;0;0;3.376,86;3.648,54;3.687,51
14. Moratalaz;143. Marroquina;2.902,56;2.783,03;2.927,88;3.143,33;3.152,65
14. Moratalaz;144. Media Legua;2.606,90;2.619,85;2.633,99;2.904,81;2.831,98
14. Moratalaz;145. Fontarrón;2.285,44;2.175,53;2.232,85;2.509,27;2.617,66
14. Moratalaz;146. Vinateros;2.367,34;2.405,58;2.474,83;2.544,08;2.655
15. Ciudad Lineal;15. Ciudad Lineal;3.188,41;3.154,24;3.177,85;3.511,66;3.559,90
15. Ciudad Lineal;151. Ventas;2.717,39;2.762,80;2.734,37;2.995,68;3.020,43
15. Ciudad Lineal;152. Pueblo Nuevo;2.433,13;2.505,02;2.598,24;2.946,90;2.861,24
15. Ciudad Lineal;153. Quintana;3.144,46;3.221,55;3.153,58;3.401,96;3.549,06
15. Ciudad Lineal;154. La Concepción;4.002,51;3.753,90;3.710,07;4.069,36;4.474,03
15. Ciudad Lineal;155. San Pascual;4.139,15;4.252,92;3.834;4.257,74;4.374,19
15. Ciudad Lineal;156. San Juan Bautista;4.106,55;3.909,33;4.145,15;4.836,38;4.663,75
15. Ciudad Lineal;157. Colina;4.259,03;4.544,25;4.219,16;4.920,05;5.025,68
15. Ciudad Lineal;158. Atalaya;4.973,31;0;0;5.625,30;5.327,85
15. Ciudad Lineal;159. Costillares;4.158,38;4.400,22;4.225,62;4.692,53;4.574,53
16. Hortaleza;16. Hortaleza;3.304,06;3.412,21;3.851,04;3.920,20;4.161,19
16. Hortaleza;161. Palomas;4.219,48;3.931,51;4.163,92;3.990,82;5.139,42
16. Hortaleza;162. Piovera;4.733,19;4.904,19;5.016,52;5.397,85;5.811,22
16. Hortaleza;163. Canillas;3.298,16;3.354,60;3.483,42;3.629,84;3.718,95
16. Hortaleza;164. Pinar del Rey;2.748,42;2.955,26;3.040,79;3.223,52;3.268,81
16. Hortaleza;165. Apóstol Santiago;3.151,26;3.787,62;2.741,61;3.461,16;2.960,40
16. Hortaleza;166. Valdefuentes;3.487,54;3.364,21;4.210,50;4.162,66;4.533,78
17. Villaverde;17. Villaverde;1.750,08;1.749,87;1.836,69;1.830,26;1.900,28
17. Villaverde;171. Villaverde Alto - Casco Histórico de Villaverde;1.631,78;1.714,38;1.939,98;1.938,69;0
17. Villaverde;172. San Cristóbal;1.320,19;1.375,61;1.294;1.421,79;1.503,63
17. Villaverde;173. Butarque;1.925,18;1.874,74;2.059,11;2.093,01;2.251,01
17. Villaverde;174. Los Rosales;1.783,33;1.818,14;1.825,08;1.931,08;2.058,92
17. Villaverde;175. Ángeles;1.868,58;1.761,69;1.868,11;1.903,27;0
18. Villa de Vallecas;18. Villa de Vallecas;2.280,79;2.543,35;2.326,79;2.628,55;2.765,88
