;;;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2020;02. Arganzuela;024. Legazpi;14.378;5;172;621;1.547;385;644;2.013;325;1.269;537;4.911;158;1.786;5;6.883;1;60;230;700;209;409;1.092;131;433;397;2.285;87;846;3;7.495;4;112;391;847;176;235;921;194;836;140;2.626;71;940;2
1 de enero de 2020;02. Arganzuela;025. Delicias;22.131;35;430;1.616;3.848;652;826;3.386;396;1.670;606;6.178;223;2.250;15;10.163;16;126;565;1.697;352;483;1.685;178;535;476;2.907;117;1.023;3;11.968;19;304;1.051;2.151;300;343;1.701;218;1.135;130;3.271;106;1.227;12
1 de enero de 2020;02. Arganzuela;026. Palos de la Frontera;22.035;41;609;1.884;3.910;616;837;3.323;422;1.454;492;5.859;225;2.349;14;10.126;12;198;694;1.730;311;509;1.655;198;479;383;2.770;126;1.056;5;11.909;29;411;1.190;2.180;305;328;1.668;224;975;109;3.089;99;1.293;9
1 de enero de 2020;02. Arganzuela;027. Atocha;845;3;15;60;158;52;46;158;19;57;29;200;5;43;0;402;2;4;23;84;21;28;83;5;20;21;91;4;16;0;443;1;11;37;74;31;18;75;14;37;8;109;1;27;0
1 de enero de 2020;03. Retiro;03. Retiro;96.645;160;1.572;5.612;12.941;1.961;2.661;15.808;1.614;7.502;2.578;32.493;848;10.767;128;42.563;72;447;1.638;4.670;948;1.584;7.266;608;2.332;2.009;15.477;474;4.986;52;54.082;88;1.125;3.974;8.271;1.013;1.077;8.542;1.006;5.170;569;17.016;374;5.781;76
1 de enero de 2020;03. Retiro;031. Pacífico;27.802;49;523;1.918;4.127;664;893;4.763;511;2.260;693;8.319;244;2.801;37;12.170;24;149;596;1.596;313;549;2.267;205;687;539;3.834;126;1.268;17;15.632;25;374;1.322;2.531;351;344;2.496;306;1.573;154;4.485;118;1.533;20
1 de enero de 2020;03. Retiro;032. Adelfas;14.934;28;332;1.070;2.185;389;509;2.412;257;1.181;442;4.522;119;1.470;18;6.707;9;97;359;879;189;298;1.223;106;389;352;2.062;65;673;6;8.227;19;235;711;1.306;200;211;1.189;151;792;90;2.460;54;797;12
1 de enero de 2020;03. Retiro;033. Estrella;18.656;26;266;943;2.358;313;455;3.028;269;1.580;619;6.615;138;2.026;20;8.341;10;72;254;744;160;282;1.382;103;490;507;3.313;79;936;9;10.315;16;194;689;1.614;153;173;1.646;166;1.090;112;3.302;59;1.090;11
1 de enero de 2020;03. Retiro;034. Ibiza;17.672;35;288;1.013;2.375;341;427;2.840;295;1.216;376;6.115;175;2.154;22;7.555;14;84;290;856;156;239;1.228;96;393;272;2.824;99;996;8;10.117;21;204;723;1.519;185;188;1.612;199;823;104;3.291;76;1.158;14
1 de enero de 2020;03. Retiro;035. Los Jerónimos;5.719;6;72;236;684;95;133;942;98;402;123;2.133;75;710;10;2.617;3;22;48;241;60;88;403;39;120;95;1.077;53;364;4;3.102;3;50;188;443;35;45;539;59;282;28;1.056;22;346;6
1 de enero de 2020;03. Retiro;036. Niño Jesús;11.862;16;91;432;1.212;159;244;1.823;184;863;325;4.789;97;1.606;21;5.173;12;23;91;354;70;128;763;59;253;244;2.367;52;749;8;6.689;4;68;341;858;89;116;1.060;125;610;81;2.422;45;857;13
1 de enero de 2020;04. Salamanca;04. Salamanca;119.259;163;1.592;5.701;14.722;1.978;2.577;19.008;2.178;7.940;2.356;44.628;1.147;15.108;161;51.078;68;435;1.651;5.139;885;1.350;7.858;675;2.399;1.806;20.892;626;7.248;46;68.181;95;1.157;4.050;9.583;1.093;1.227;11.150;1.503;5.541;550;23.736;521;7.860;115
1 de enero de 2020;04. Salamanca;041. Recoletos;12.599;12;93;368;1.234;137;162;1.853;225;761;181;5.560;130;1.869;14;5.545;4;22;109;356;56;71;681;49;245;140;2.740;71;999;2;7.054;8;71;259;878;81;91;1.172;176;516;41;2.820;59;870;12
1 de enero de 2020;04. Salamanca;042. Goya;24.398;37;330;1.111;3.006;397;503;3.778;465;1.544;451;9.134;275;3.330;37;10.274;13;87;321;1.085;187;237;1.537;148;448;350;4.169;151;1.534;7;14.124;24;243;790;1.921;210;266;2.241;317;1.096;101;4.965;124;1.796;30
1 de enero de 2020;04. Salamanca;043. Fuente del Berro;17.433;32;298;1.162;2.618;435;523;2.881;314;1.276;408;5.480;147;1.839;20;7.413;10;88;339;995;204;298;1.300;119;393;319;2.430;76;834;8;10.020;22;210;823;1.623;231;225;1.581;195;883;89;3.050;71;1.005;12
1 de enero de 2020;04. Salamanca;044. Guindalera;34.129;42;524;1.804;4.415;604;899;5.636;639;2.464;824;11.974;292;3.981;31;14.929;21;158;539;1.640;275;513;2.511;216;737;634;5.636;171;1.871;7;19.200;21;366;1.265;2.775;329;386;3.125;423;1.727;190;6.338;121;2.110;24
1 de enero de 2020;04. Salamanca;045. Lista;17.135;22;218;788;2.010;247;315;2.724;287;1.115;319;6.558;165;2.337;30;7.159;13;53;217;694;100;151;1.096;82;321;238;3.006;85;1.091;12;9.976;9;165;571;1.316;147;164;1.628;205;794;81;3.552;80;1.246;18
1 de enero de 2020;04. Salamanca;046. Castellana;13.565;18;129;468;1.439;158;175;2.136;248;780;173;5.922;138;1.752;29;5.758;7;27;126;369;63;80;733;61;255;125;2.911;72;919;10;7.807;11;102;342;1.070;95;95;1.403;187;525;48;3.011;66;833;19
1 de enero de 2020;05. Chamartín;05. Chamartín;115.960;170;1.414;5.120;13.884;1.737;2.418;18.421;2.316;7.847;2.441;44.048;1.089;14.759;296;50.612;69;348;1.450;4.582;774;1.297;7.728;685;2.413;1.896;21.433;595;7.238;104;65.348;101;1.066;3.670;9.302;963;1.121;10.693;1.631;5.434;545;22.615;494;7.521;192
1 de enero de 2020;05. Chamartín;051. El Viso;13.346;29;137;421;1.463;124;161;2.044;254;764;179;5.727;155;1.837;51;5.814;15;33;118;401;50;74;728;59;210;140;2.899;76;991;20;7.532;14;104;303;1.062;74;87;1.316;195;554;39;2.828;79;846;31
1 de enero de 2020;05. Chamartín;052. Prosperidad;30.319;44;442;1.704;4.263;598;849;5.238;646;2.221;780;9.899;267;3.293;75;13.250;15;110;507;1.544;278;504;2.351;227;714;617;4.730;155;1.468;30;17.069;29;332;1.197;2.719;320;345;2.887;419;1.507;163;5.169;112;1.825;45
1 de enero de 2020;05. Chamartín;053. Ciudad Jardín;15.288;24;238;887;2.277;297;412;2.527;278;1.072;328;4.928;134;1.843;43;6.594;8;52;284;835;139;222;1.170;103;335;252;2.267;72;840;15;8.694;16;186;603;1.442;158;190;1.357;175;737;76;2.661;62;1.003;28
1 de enero de 2020;05. Chamartín;054. Hispanoamérica;24.898;28;263;958;2.727;312;418;3.913;492;1.698;517;9.975;240;3.289;68;10.788;9;73;242;836;135;210;1.608;125;528;400;4.852;134;1.614;22;14.110;19;190;716;1.891;177;208;2.305;367;1.170;117;5.123;106;1.675;46
1 de enero de 2020;05. Chamartín;055. Nueva España;18.667;19;150;519;1.751;184;252;2.695;389;1.156;313;8.317;186;2.704;32;8.150;11;39;130;472;70;106;1.023;102;358;237;4.095;99;1.399;9;10.517;8;111;389;1.279;114;146;1.672;287;798;76;4.222;87;1.305;23
