;;;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2021;03. Retiro;035. Los Jerónimos;5.606;6;71;209;650;95;136;921;101;376;113;2.103;78;737;10;2.556;3;20;40;226;60;85;397;38;116;88;1.046;57;376;4;3.050;3;51;169;424;35;51;524;63;260;25;1.057;21;361;6
1 de enero de 2021;03. Retiro;036. Niño Jesús;11.778;18;82;399;1.161;154;246;1.813;178;845;310;4.791;100;1.662;19;5.178;13;23;88;351;71;131;749;55;252;233;2.369;52;784;7;6.600;5;59;311;810;83;115;1.064;123;593;77;2.422;48;878;12
1 de enero de 2021;04. Salamanca;04. Salamanca;117.784;155;1.440;5.281;14.229;1.927;2.616;18.635;2.127;7.686;2.264;44.537;1.114;15.624;149;50.558;66;393;1.526;5.008;862;1.379;7.754;653;2.294;1.714;20.774;596;7.495;44;67.226;89;1.047;3.755;9.221;1.065;1.237;10.881;1.474;5.392;550;23.763;518;8.129;105
1 de enero de 2021;04. Salamanca;041. Recoletos;12.455;12;84;343;1.194;131;156;1.826;226;721;172;5.559;120;1.898;13;5.484;4;22;102;347;54;67;681;53;228;131;2.706;68;1.019;2;6.971;8;62;241;847;77;89;1.145;173;493;41;2.853;52;879;11
1 de enero de 2021;04. Salamanca;042. Goya;24.091;36;297;1.023;2.891;393;502;3.677;449;1.479;437;9.137;257;3.482;31;10.175;13;76;302;1.050;185;241;1.514;143;413;330;4.149;143;1.609;7;13.916;23;221;721;1.841;208;261;2.163;306;1.066;107;4.988;114;1.873;24
1 de enero de 2021;04. Salamanca;043. Fuente del Berro;17.195;31;264;1.070;2.543;423;537;2.857;313;1.252;396;5.435;139;1.917;18;7.320;10;75;310;970;201;303;1.295;111;385;306;2.413;69;865;7;9.875;21;189;760;1.573;222;234;1.562;202;867;90;3.022;70;1.052;11
1 de enero de 2021;04. Salamanca;044. Guindalera;33.796;40;489;1.661;4.255;587;922;5.543;609;2.410;786;11.996;286;4.182;30;14.788;20;148;489;1.593;264;526;2.455;201;726;596;5.628;161;1.974;7;19.008;20;341;1.172;2.662;323;396;3.088;408;1.684;190;6.368;125;2.208;23
1 de enero de 2021;04. Salamanca;045. Lista;16.910;18;192;748;1.960;245;324;2.638;277;1.069;318;6.543;168;2.381;29;7.114;11;47;205;690;99;157;1.075;82;310;238;3.004;84;1.101;11;9.796;7;145;543;1.270;146;167;1.563;195;759;80;3.539;84;1.280;18
1 de enero de 2021;04. Salamanca;046. Castellana;13.337;18;114;436;1.386;148;175;2.094;253;755;155;5.867;144;1.764;28;5.677;8;25;118;358;59;85;734;63;232;113;2.874;71;927;10;7.660;10;89;318;1.028;89;90;1.360;190;523;42;2.993;73;837;18
1 de enero de 2021;05. Chamartín;05. Chamartín;114.690;183;1.296;4.743;13.482;1.693;2.403;18.172;2.257;7.615;2.366;43.933;1.065;15.203;279;50.084;80;317;1.342;4.448;750;1.305;7.639;660;2.346;1.818;21.286;582;7.412;99;64.606;103;979;3.401;9.034;943;1.098;10.533;1.597;5.269;548;22.647;483;7.791;180
1 de enero de 2021;05. Chamartín;051. El Viso;13.312;29;130;402;1.416;116;164;2.041;250;742;172;5.787;152;1.865;46;5.802;15;34;113;387;46;75;735;62;204;130;2.919;72;992;18;7.510;14;96;289;1.029;70;89;1.306;188;538;42;2.868;80;873;28
1 de enero de 2021;05. Chamartín;052. Prosperidad;29.814;47;408;1.577;4.133;589;835;5.129;629;2.173;760;9.806;262;3.394;72;13.019;17;102;473;1.485;270;502;2.271;220;690;596;4.693;156;1.515;29;16.795;30;306;1.104;2.648;319;333;2.858;409;1.483;164;5.113;106;1.879;43
1 de enero de 2021;05. Chamartín;053. Ciudad Jardín;15.103;23;217;829;2.203;290;404;2.512;277;1.049;319;4.890;138;1.912;40;6.522;7;44;265;802;129;222;1.176;98;324;245;2.244;70;882;14;8.581;16;173;564;1.401;161;182;1.336;179;725;74;2.646;68;1.030;26
1 de enero de 2021;05. Chamartín;054. Hispanoamérica;24.606;31;232;876;2.644;300;422;3.841;479;1.636;499;9.952;237;3.390;67;10.671;12;58;221;814;134;214;1.590;115;523;383;4.793;130;1.662;22;13.935;19;174;655;1.830;166;208;2.251;364;1.113;116;5.159;107;1.728;45
1 de enero de 2021;05. Chamartín;055. Nueva España;18.471;22;134;482;1.717;176;245;2.653;367;1.109;304;8.287;175;2.772;28;8.041;13;36;115;460;67;104;1.011;95;341;226;4.056;97;1.411;9;10.430;9;98;367;1.257;109;141;1.642;272;768;78;4.231;78;1.361;19
1 de enero de 2021;05. Chamartín;056. Castilla;13.384;31;175;577;1.369;222;333;1.996;255;906;312;5.211;101;1.870;26;6.029;16;43;155;500;104;188;856;70;264;238;2.581;57;950;7;7.355;15;132;422;869;118;145;1.140;185;642;74;2.630;44;920;19
1 de enero de 2021;06. Tetuán;06. Tetuán;128.424;452;3.741;12.227;29.530;4.006;4.333;19.340;2.490;6.670;2.326;30.644;1.099;11.388;178;56.833;151;1.204;4.575;12.628;2.013;2.464;8.788;854;2.012;1.710;14.291;594;5.489;60;71.591;301;2.537;7.652;16.902;1.993;1.869;10.552;1.636;4.658;616;16.353;505;5.899;118
1 de enero de 2021;06. Tetuán;061. Bellas Vistas;23.437;52;665;2.328;6.099;723;736;3.738;452;1.200;396;4.927;182;1.907;32;10.406;19;232;867;2.642;360;424;1.711;170;356;294;2.297;99;921;14;13.031;33;433;1.461;3.457;363;312;2.027;282;844;102;2.630;83;986;18
1 de enero de 2021;06. Tetuán;062. Cuatro Caminos;28.565;64;476;1.684;4.808;574;768;4.161;505;1.677;570;9.413;253;3.544;68;12.515;30;128;541;1.833;288;404;1.841;159;496;417;4.540;143;1.677;18;16.050;34;348;1.143;2.975;286;364;2.320;346;1.181;153;4.873;110;1.867;50
1 de enero de 2021;06. Tetuán;063. Castillejos;17.227;32;293;1.004;2.716;340;433;2.597;339;1.036;365;5.725;179;2.146;22;7.558;9;73;321;1.017;173;246;1.076;103;322;281;2.754;101;1.075;7;9.669;23;220;683;1.699;167;187;1.521;236;714;84;2.971;78;1.071;15
1 de enero de 2021;06. Tetuán;064. Almenara;17.950;139;869;2.461;4.479;773;698;2.456;363;780;304;3.235;158;1.225;10;8.029;45;281;970;2.034;384;394;1.136;119;247;221;1.495;86;611;6;9.921;94;588;1.491;2.445;389;304;1.320;244;533;83;1.740;72;614;4
1 de enero de 2021;06. Tetuán;065. Valdeacederas;20.972;112;813;2.512;5.842;861;892;3.145;414;981;361;3.617;166;1.237;19;9.529;27;281;1.047;2.706;443;538;1.507;161;303;250;1.579;82;597;8;11.443;85;532;1.465;3.136;418;354;1.638;253;678;111;2.038;84;640;11
1 de enero de 2021;06. Tetuán;066. Berruguete;20.273;53;625;2.238;5.586;735;806;3.243;417;996;330;3.727;161;1.329;27;8.796;21;209;829;2.396;365;458;1.517;142;288;247;1.626;83;608;7;11.477;32;416;1.409;3.190;370;348;1.726;275;708;83;2.101;78;721;20
1 de enero de 2021;07. Chamberí;07. Chamberí;113.410;157;1.442;5.393;14.392;1.964;2.430;16.344;1.955;7.285;2.045;41.993;1.096;16.769;145;48.808;57;388;1.622;5.276;893;1.319;6.986;673;2.088;1.532;19.429;595;7.898;52;64.602;100;1.054;3.771;9.116;1.071;1.111;9.358;1.282;5.197;513;22.564;501;8.871;93
1 de enero de 2021;07. Chamberí;071. Gaztambide;18.968;22;253;987;2.452;323;403;2.713;310;1.212;337;6.869;183;2.882;22;8.170;6;68;302;881;142;233;1.197;106;356;249;3.172;94;1.354;10;10.798;16;185;685;1.571;181;170;1.516;204;856;88;3.697;89;1.528;12
1 de enero de 2021;07. Chamberí;072. Arapiles;19.943;25;323;1.120;2.753;388;480;2.946;324;1.218;387;6.891;185;2.884;19;8.654;5;78;351;1.066;193;267;1.353;114;357;300;3.147;115;1.301;7;11.289;20;245;769;1.687;195;213;1.593;210;861;87;3.744;70;1.583;12
1 de enero de 2021;07. Chamberí;073. Trafalgar;20.457;28;281;1.049;2.547;391;496;2.968;368;1.257;367;7.493;208;2.979;25;8.978;8;82;343;1.016;182;280;1.341;151;405;289;3.431;103;1.339;8;11.479;20;199;706;1.531;209;216;1.627;217;852;78;4.062;105;1.640;17
1 de enero de 2021;07. Chamberí;074. Almagro;15.706;19;160;609;2.035;239;248;2.312;317;1.069;215;6.034;156;2.261;32;6.808;11;43;186;695;92;113;902;81;287;160;2.958;84;1.187;9;8.898;8;117;423;1.340;147;135;1.410;236;782;55;3.076;72;1.074;23
1 de enero de 2021;07. Chamberí;075. Ríos Rosas;22.215;39;305;1.047;2.875;401;487;3.037;374;1.356;433;8.352;213;3.272;24;9.491;18;80;292;1.063;177;270;1.275;145;398;316;3.828;116;1.504;9;12.724;21;225;755;1.812;224;217;1.762;229;958;117;4.524;97;1.768;15
1 de enero de 2021;07. Chamberí;076. Vallehermoso;16.121;24;120;581;1.730;222;316;2.368;262;1.173;306;6.354;151;2.491;23;6.707;9;37;148;555;107;156;918;76;285;218;2.893;83;1.213;9;9.414;15;83;433;1.175;115;160;1.450;186;888;88;3.461;68;1.278;14
1 de enero de 2021;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;183.967;564;5.046;14.888;31.387;6.045;7.050;27.470;3.481;12.637;4.540;52.382;1.460;16.896;121;84.027;166;1.609;5.392;13.578;3.072;4.147;13.246;1.287;3.941;3.519;25.194;780;8.043;53;99.940;398;3.437;9.496;17.809;2.973;2.903;14.224;2.194;8.696;1.021;27.188;680;8.853;68
1 de enero de 2021;08. Fuencarral-El Pardo;081. El Pardo;2.793;10;118;362;734;96;126;583;54;161;34;395;12;108;0;1.377;4;30;115;382;56;82;355;29;54;26;186;5;53;0;1.416;6;88;247;352;40;44;228;25;107;8;209;7;55;0
1 de enero de 2021;08. Fuencarral-El Pardo;082. Fuentelarreina;2.425;5;21;77;258;27;22;363;44;142;34;1.056;20;354;2;1.036;2;5;22;58;10;12;105;12;43;29;536;11;190;1;1.389;3;16;55;200;17;10;258;32;99;5;520;9;164;1
1 de enero de 2021;08. Fuencarral-El Pardo;083. Peñagrande;35.062;123;1.196;3.349;6.875;1.353;1.406;5.559;558;2.324;920;8.407;229;2.747;16;15.852;37;409;1.213;2.929;703;865;2.673;203;690;734;3.977;115;1.294;10;19.210;86;787;2.136;3.946;650;541;2.886;355;1.634;186;4.430;114;1.453;6
1 de enero de 2021;08. Fuencarral-El Pardo;084. Pilar;38.018;138;1.608;4.906;8.944;1.684;1.700;5.784;642;2.267;701;7.102;234;2.273;35;16.891;37;491;1.810;4.008;875;986;2.797;243;689;542;3.252;118;1.029;14;21.127;101;1.117;3.096;4.936;809;714;2.987;399;1.578;159;3.850;116;1.244;21
1 de enero de 2021;08. Fuencarral-El Pardo;085. La Paz;27.170;32;387;1.725;3.886;671;868;4.530;399;2.266;877;8.389;200;2.923;17;12.399;10;110;551;1.423;318;543;2.098;136;714;723;4.245;127;1.397;4;14.771;22;277;1.174;2.463;353;325;2.432;263;1.552;154;4.144;73;1.526;13
1 de enero de 2021;08. Fuencarral-El Pardo;086. Valverde;43.962;154;1.259;3.274;7.794;1.516;1.827;6.115;1.093;2.865;1.091;12.805;419;3.721;29;20.245;40;425;1.288;3.564;766;1.029;3.013;428;950;793;5.998;218;1.723;10;23.717;114;834;1.986;4.230;750;798;3.102;665;1.915;298;6.807;201;1.998;19
1 de enero de 2021;08. Fuencarral-El Pardo;087. Mirasierra;23.032;76;299;814;2.019;428;675;3.219;380;1.701;530;9.447;180;3.244;20;10.688;28;92;266;760;203;368;1.476;118;528;422;4.683;101;1.630;13;12.344;48;207;548;1.259;225;307;1.743;262;1.173;108;4.764;79;1.614;7
1 de enero de 2021;08. Fuencarral-El Pardo;088. El Goloso;11.505;26;158;381;877;270;426;1.317;311;911;353;4.781;166;1.526;2;5.539;8;47;127;454;141;262;729;118;273;250;2.317;85;727;1;5.966;18;111;254;423;129;164;588;193;638;103;2.464;81;799;1
1 de enero de 2021;09. Moncloa-Aravaca;09. Moncloa-Aravaca;91.819;154;1.777;6.143;13.275;2.188;2.543;13.687;1.636;6.026;1.928;30.148;856;11.292;166;41.034;54;496;2.091;5.255;1.079;1.455;6.238;577;1.872;1.442;14.371;472;5.564;68;50.785;100;1.281;4.052;8.020;1.109;1.088;7.449;1.059;4.154;486;15.777;384;5.728;98
1 de enero de 2021;09. Moncloa-Aravaca;091. Casa de Campo;10.674;20;229;815;1.647;300;342;1.748;191;758;247;3.037;97;1.233;10;4.830;6;76;270;694;148;213;872;84;222;194;1.446;53;549;3;5.844;14;153;545;953;152;129;876;107;536;53;1.591;44;684;7
1 de enero de 2021;09. Moncloa-Aravaca;092. Argüelles;19.781;17;260;916;2.541;330;415;2.886;342;1.314;389;7.224;214;2.887;46;8.851;8;74;288;965;164;239;1.277;129;420;277;3.439;122;1.432;17;10.930;9;186;628;1.576;166;176;1.609;213;894;112;3.785;92;1.455;29
1 de enero de 2021;09. Moncloa-Aravaca;093. Ciudad Universitaria;12.538;10;148;523;1.356;164;259;1.707;228;899;265;4.705;106;2.141;27;5.608;3;48;161;450;79;149;737;67;278;206;2.303;58;1.061;8;6.930;7;100;362;906;85;110;970;161;621;59;2.402;48;1.080;19
1 de enero de 2021;09. Moncloa-Aravaca;094. Valdezarza;23.806;50;784;2.776;5.178;1.025;1.042;3.905;380;1.391;487;4.889;164;1.695;40;10.542;15;195;1.007;2.321;531;607;1.877;163;421;363;2.167;86;771;18;13.264;35;589;1.769;2.857;494;435;2.028;217;970;124;2.722;78;924;22
1 de enero de 2021;09. Moncloa-Aravaca;095. Valdemarín;4.277;3;41;143;352;27;37;481;87;266;79;2.009;58;692;2;1.888;1;3;27;80;10;15;178;18;82;62;1.009;31;371;1;2.389;2;38;116;272;17;22;303;69;184;17;1.000;27;321;1
1 de enero de 2021;09. Moncloa-Aravaca;096. El Plantío;2.052;8;25;85;203;23;27;314;46;125;37;835;30;293;1;916;0;2;28;65;8;10;120;12;42;27;422;20;160;0;1.136;8;23;57;138;15;17;194;34;83;10;413;10;133;1
1 de enero de 2021;09. Moncloa-Aravaca;097. Aravaca;18.691;46;290;885;1.998;319;421;2.646;362;1.273;424;7.449;187;2.351;40;8.399;21;98;310;680;139;222;1.177;104;407;313;3.585;102;1.220;21;10.292;25;192;575;1.318;180;199;1.469;258;866;111;3.864;85;1.131;19
1 de enero de 2021;10. Latina;10. Latina;190.621;820;9.476;28.610;52.225;9.810;9.160;30.732;3.102;9.870;2.884;25.358;1.302;7.023;249;86.203;251;3.141;11.091;24.047;5.007;5.388;15.533;1.181;3.203;2.230;11.152;701;3.170;108;104.418;569;6.335;17.519;28.178;4.803;3.772;15.199;1.921;6.667;654;14.206;601;3.853;141
1 de enero de 2021;10. Latina;101. Los Cármenes;13.268;123;771;1.933;3.626;726;601;2.135;233;618;167;1.724;94;495;22;6.160;36;296;830;1.762;358;348;1.039;90;200;120;787;57;229;8;7.108;87;475;1.103;1.864;368;253;1.096;143;418;47;937;37;266;14
1 de enero de 2021;10. Latina;102. Puerta del Ángel;33.628;125;1.519;4.492;8.974;1.450;1.432;5.518;607;1.678;480;5.343;265;1.702;43;15.142;33;479;1.800;4.091;731;806;2.683;227;579;377;2.365;144;803;24;18.486;92;1.040;2.692;4.883;719;626;2.835;380;1.099;103;2.978;121;899;19
1 de enero de 2021;10. Latina;103. Lucero;28.577;120;1.557;4.143;7.863;1.304;1.241;4.730;453;1.433;409;3.996;207;1.099;22;12.984;42;538;1.676;3.631;662;731;2.393;184;461;323;1.753;102;483;5;15.593;78;1.019;2.467;4.232;642;510;2.337;269;972;86;2.243;105;616;17
1 de enero de 2021;10. Latina;104. Aluche;54.284;161;2.497;8.636;15.263;2.676;2.576;8.811;785;2.980;898;6.824;308;1.773;96;24.293;52;807;3.273;6.803;1.399;1.527;4.470;283;949;714;3.040;157;777;42;29.991;109;1.690;5.363;8.460;1.277;1.049;4.341;502;2.031;184;3.784;151;996;54
1 de enero de 2021;10. Latina;105. Campamento;15.463;48;649;2.174;4.258;775;752;2.599;274;820;260;2.073;140;624;17;6.981;18;201;717;1.898;401;454;1.350;106;276;194;957;89;313;7;8.482;30;448;1.457;2.360;374;298;1.249;168;544;66;1.116;51;311;10
1 de enero de 2021;10. Latina;106. Cuatro Vientos;4.070;14;78;271;866;227;281;683;118;368;110;818;39;197;0;1.983;7;32;135;463;114;164;351;50;116;87;368;18;78;0;2.087;7;46;136;403;113;117;332;68;252;23;450;21;119;0
1 de enero de 2021;10. Latina;107. Águilas;41.331;229;2.405;6.961;11.375;2.652;2.277;6.256;632;1.973;560;4.580;249;1.133;49;18.660;63;788;2.660;5.399;1.342;1.358;3.247;241;622;415;1.882;134;487;22;22.671;166;1.617;4.301;5.976;1.310;919;3.009;391;1.351;145;2.698;115;646;27
1 de enero de 2021;11. Carabanchel;11. Carabanchel;198.027;1.071;9.674;28.782;61.876;10.191;9.426;30.773;3.577;9.096;2.560;23.654;1.236;5.846;265;89.977;343;3.393;11.764;29.199;5.167;5.440;15.178;1.427;2.926;1.900;10.005;636;2.478;121;108.050;728;6.281;17.018;32.677;5.024;3.986;15.595;2.150;6.170;660;13.649;600;3.368;144
1 de enero de 2021;11. Carabanchel;111. Comillas;18.500;73;708;2.446;5.130;779;798;3.151;329;996;256;2.848;152;815;19;8.323;22;207;935;2.375;374;468;1.581;142;316;197;1.248;82;366;10;10.177;51;501;1.511;2.755;405;330;1.570;187;680;59;1.600;70;449;9
1 de enero de 2021;11. Carabanchel;112. Opañel;26.641;97;1.094;3.724;8.107;1.274;1.155;4.398;470;1.262;366;3.547;166;961;20;11.890;35;382;1.480;3.732;622;654;2.117;196;415;269;1.502;78;400;8;14.751;62;712;2.244;4.375;652;501;2.281;274;847;97;2.045;88;561;12
1 de enero de 2021;11. Carabanchel;113. San Isidro;30.965;243;1.865;4.908;9.533;1.479;1.281;4.503;533;1.278;393;3.686;199;1.008;56;14.139;86;705;2.071;4.548;763;728;2.228;204;414;264;1.595;101;411;21;16.826;157;1.160;2.837;4.985;716;553;2.275;329;864;129;2.091;98;597;35
1 de enero de 2021;11. Carabanchel;114. Vista Alegre;37.049;146;1.776;5.815;12.456;1.800;1.523;5.876;595;1.601;413;3.898;177;907;66;16.401;48;602;2.286;5.632;884;903;2.799;230;495;321;1.680;101;387;33;20.648;98;1.174;3.529;6.824;916;620;3.077;365;1.106;92;2.218;76;520;33
1 de enero de 2021;11. Carabanchel;115. Puerta Bonita;27.109;244;1.719;4.363;9.296;1.392;1.212;3.928;454;957;195;2.574;176;578;21;12.363;79;608;1.829;4.418;694;688;1.999;193;326;146;1.035;92;247;9;14.746;165;1.111;2.534;4.878;698;524;1.929;261;631;49;1.539;84;331;12
1 de enero de 2021;11. Carabanchel;116. Buenavista;34.296;135;1.338;3.943;9.411;2.267;2.393;5.385;765;2.043;643;4.654;241;1.054;24;16.185;34;499;1.674;4.713;1.224;1.398;2.737;293;637;477;1.912;125;448;14;18.111;101;839;2.269;4.698;1.043;995;2.648;472;1.406;166;2.742;116;606;10
1 de enero de 2021;11. Carabanchel;117. Abrantes;23.467;133;1.174;3.583;7.943;1.200;1.064;3.532;431;959;294;2.447;125;523;59;10.676;39;390;1.489;3.781;606;601;1.717;169;323;226;1.033;57;219;26;12.791;94;784;2.094;4.162;594;463;1.815;262;636;68;1.414;68;304;33
1 de enero de 2021;12. Usera;12. Usera;106.652;951;6.753;18.583;37.030;5.741;4.285;14.575;1.694;3.647;1.049;9.395;579;2.313;57;49.018;281;2.489;8.001;17.858;2.871;2.360;7.119;671;1.178;770;4.043;296;1.045;36;57.634;670;4.264;10.582;19.172;2.870;1.925;7.456;1.023;2.469;279;5.352;283;1.268;21
1 de enero de 2021;12. Usera;121. Orcasitas;17.088;259;1.533;3.023;5.337;1.145;849;2.252;240;607;183;1.286;82;276;16;7.836;79;549;1.354;2.680;576;445;1.064;83;172;131;522;42;127;12;9.252;180;984;1.669;2.657;569;404;1.188;157;435;52;764;40;149;4
1 de enero de 2021;12. Usera;122. Orcasur;10.298;207;1.009;1.836;3.417;608;356;1.077;154;308;110;900;67;245;4;4.883;60;413;863;1.722;291;208;527;60;101;85;398;29;123;3;5.415;147;596;973;1.695;317;148;550;94;207;25;502;38;122;1
1 de enero de 2021;12. Usera;123. San Fermín;17.112;182;1.061;2.831;5.720;1.021;811;2.376;315;616;200;1.516;105;354;4;7.992;51;404;1.258;2.868;545;438;1.138;123;193;143;628;59;143;1;9.120;131;657;1.573;2.852;476;373;1.238;192;423;57;888;46;211;3
1 de enero de 2021;12. Usera;124. Almendrales;16.874;59;872;2.860;5.803;806;591;2.385;285;657;170;1.787;103;490;6;7.655;15;307;1.168;2.739;421;316;1.191;104;228;121;782;47;212;4;9.219;44;565;1.692;3.064;385;275;1.194;181;429;49;1.005;56;278;2
1 de enero de 2021;12. Usera;125. Moscardó;20.772;75;819;3.286;7.332;980;810;3.160;358;830;235;2.167;118;587;15;9.456;33;286;1.308;3.398;461;470;1.557;164;275;184;973;64;274;9;11.316;42;533;1.978;3.934;519;340;1.603;194;555;51;1.194;54;313;6
1 de enero de 2021;12. Usera;126. Zofío;10.847;64;638;1.943;3.964;585;437;1.550;145;328;70;880;49;191;3;4.934;16;232;839;1.853;297;228;766;55;106;52;379;26;83;2;5.913;48;406;1.104;2.111;288;209;784;90;222;18;501;23;108;1
1 de enero de 2021;12. Usera;127. Pradolongo;13.661;105;821;2.804;5.457;596;431;1.775;197;301;81;859;55;170;9;6.262;27;298;1.211;2.598;280;255;876;82;103;54;361;29;83;5;7.399;78;523;1.593;2.859;316;176;899;115;198;27;498;26;87;4
1 de enero de 2021;13. Puente de Vallecas;13. Puente de Vallecas;182.697;2.108;14.423;31.426;61.370;10.448;7.414;25.774;2.628;5.491;1.579;15.359;858;3.637;182;84.569;701;5.364;13.917;30.090;5.359;4.152;12.491;1.030;1.797;1.154;6.454;417;1.559;84;98.128;1.407;9.059;17.509;31.280;5.089;3.262;13.283;1.598;3.694;425;8.905;441;2.078;98
1 de enero de 2021;13. Puente de Vallecas;131. Entrevías;26.542;562;3.119;5.317;9.511;1.692;878;2.949;295;450;123;1.260;100;271;15;12.442;163;1.230;2.496;4.779;874;464;1.433;99;146;82;498;42;128;8;14.100;399;1.889;2.821;4.732;818;414;1.516;196;304;41;762;58;143;7
1 de enero de 2021;13. Puente de Vallecas;132. San Diego;32.817;230;1.983;5.290;12.268;1.587;1.132;4.944;545;876;269;2.824;172;683;14;15.315;81;737;2.337;5.962;794;621;2.430;220;317;202;1.220;88;297;9;17.502;149;1.246;2.953;6.306;793;511;2.514;325;559;67;1.604;84;386;5
1 de enero de 2021;13. Puente de Vallecas;133. Palomeras Bajas;30.647;239;1.828;4.546;9.335;1.946;1.525;4.946;447;1.295;322;3.237;137;803;41;14.008;99;664;1.970;4.523;979;897;2.363;170;395;232;1.300;64;333;19;16.639;140;1.164;2.576;4.812;967;628;2.583;277;900;90;1.937;73;470;22
1 de enero de 2021;13. Puente de Vallecas;134. Palomeras Sureste;33.095;442;3.027;5.481;10.621;2.047;1.476;4.524;475;1.026;334;2.794;153;664;31;15.440;141;1.109;2.488;5.303;1.080;818;2.183;193;336;245;1.180;73;274;17;17.655;301;1.918;2.993;5.318;967;658;2.341;282;690;89;1.614;80;390;14
1 de enero de 2021;13. Puente de Vallecas;135. Portazgo;22.203;349;2.054;4.444;7.398;1.265;827;2.796;261;583;176;1.593;90;323;44;10.074;117;719;1.896;3.590;636;464;1.365;106;175;129;689;41;132;15;12.129;232;1.335;2.548;3.808;629;363;1.431;155;408;47;904;49;191;29
1 de enero de 2021;13. Puente de Vallecas;136. Numancia;37.393;286;2.412;6.348;12.237;1.911;1.576;5.615;605;1.261;355;3.651;206;893;37;17.290;100;905;2.730;5.933;996;888;2.717;242;428;264;1.567;109;395;16;20.103;186;1.507;3.618;6.304;915;688;2.898;363;833;91;2.084;97;498;21
1 de enero de 2021;14. Moratalaz;14. Moratalaz;74.541;505;3.532;9.464;17.399;3.524;3.607;12.778;1.184;4.427;1.501;12.690;495;3.355;80;32.974;187;1.117;3.417;7.653;1.759;2.140;6.242;424;1.376;1.188;5.618;253;1.564;36;41.567;318;2.415;6.047;9.746;1.765;1.467;6.536;760;3.051;313;7.072;242;1.791;44
1 de enero de 2021;14. Moratalaz;141. Pavones;7.010;84;517;908;1.591;378;381;1.216;111;380;140;999;38;259;8;3.112;24;157;382;719;188;231;589;38;107;116;427;21;109;4;3.898;60;360;526;872;190;150;627;73;273;24;572;17;150;4
1 de enero de 2021;14. Moratalaz;142. Horcajo;4.349;33;122;335;714;234;259;686;82;346;131;1.094;34;279;0;2.002;15;47;143;334;115;149;339;30;106;99;466;23;136;0;2.347;18;75;192;380;119;110;347;52;240;32;628;11;143;0
1 de enero de 2021;14. Moratalaz;143. Marroquina;21.520;72;756;2.324;4.558;848;1.036;3.842;288;1.505;529;4.404;132;1.207;19;9.629;31;251;789;1.929;414;615;1.891;82;505;421;2.049;69;574;9;11.891;41;505;1.535;2.629;434;421;1.951;206;1.000;108;2.355;63;633;10
1 de enero de 2021;14. Moratalaz;144. Media Legua;14.183;157;684;1.807;3.243;594;629;2.381;211;845;279;2.532;88;707;26;6.274;62;232;652;1.417;284;385;1.149;86;261;218;1.126;48;340;14;7.909;95;452;1.155;1.826;310;244;1.232;125;584;61;1.406;40;367;12
1 de enero de 2021;14. Moratalaz;145. Fontarrón;13.692;90;770;2.062;3.886;757;632;2.287;253;614;176;1.655;102;393;15;6.054;28;235;761;1.769;402;376;1.137;97;179;140;704;45;174;7;7.638;62;535;1.301;2.117;355;256;1.150;156;435;36;951;57;219;8
1 de enero de 2021;14. Moratalaz;146. Vinateros;13.787;69;683;2.028;3.407;713;670;2.366;239;737;246;2.006;101;510;12;5.903;27;195;690;1.485;356;384;1.137;91;218;194;846;47;231;2;7.884;42;488;1.338;1.922;357;286;1.229;148;519;52;1.160;54;279;10
