Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2020;Importe 2021;Importe 2022;Importe 2023;Resto Anualidades;Total previsto;Estado;Observaciones;Url_Fotografia;Fecha de los datos
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;29;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VILLAVERDE INGENIEROS;2019;2022;;217;VILLAVERDE;La Pícara Molinera, 62;calle;La Pícara Molinera;62;40.354728;-3.702921;15;Vivienda;0;3352903,5;3823441,5;4000000;0;0;11176345;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;30;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 39A;2020;2022;;219;VICÁLVARO;Diálogo, 79;calle;Diálogo;79;40.406674;-3.554058;15;Vivienda;0;3249381,9;3581891,1;4000000;0;0;10831273;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;31;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 39B;2020;2022;;219;VICÁLVARO;Diálogo, 63;calle;Diálogo;63;40.406681;-3.554270;15;Vivienda;0;3249381,9;3581891,1;4000000;0;0;10831273;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;32;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 41B;2020;2022;;219;VICÁLVARO;Cerro del Tesoro, 31;calle;Cerro del Tesoro;31;40.407221;-3.550798;15;Vivienda;0;3249381,9;3581891,1;4000000;0;0;10831273;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;33;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 30A;2020;2022;;219;VICÁLVARO;Miguel Delibes, 50;avenida;Miguel Delibes;50;40.405652;-3.561710;15;Vivienda;0;2525968,8;3893927,2;2000000;0;0;8419896;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;34;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 30D;2020;2022;;219;VICÁLVARO;Jose Escobar Y Saliente, 80;calle;Jose Escobar Y Saliente;80;40.405013;-3.562580;15;Vivienda;0;2525971,8;3893934,2;2000000;0;0;8419906;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;35;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 34B;2020;2022;;219;VICÁLVARO;Miguel Delibes, 65;avenida;Miguel Delibes;65;40.405559;-3.559543;15;Vivienda;0;1725006,6;3900026,4;3000000;0;0;8625033;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;36;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 5C;2020;2022;;219;VICÁLVARO;Arroyo Cañaveral, 75;calle;Arroyo Cañaveral;75;40.400465;-3.558319;15;Vivienda;0;1725006,6;3900026,4;3000000;0;0;8625033;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;37;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. T 6A;2020;2022;;219;VICÁLVARO;Enrique Urquijo, 81;calle;Enrique Urquijo;81;40.400904;-3.559980;15;Vivienda;0;842557;1870228;1500000;0;0;4212785;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;38;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓNVICALVARO. T 6B;2020;2022;;219;VICÁLVARO;Enrique Urquijo, 91;calle;Enrique Urquijo;91;40.401244;-3.559669;15;Vivienda;0;842557;1870228;1500000;0;0;4212785;EN PROCESO;;;10/06/2022
