Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2021;Importe 2022;Importe 2023;Importe 2024;Resto Anualidades;Total previsto;Estado;Observaciones;Url_Fotografia;Fecha de los datos
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000002;CENTRO DE TRATAMIENTO LA PALOMA. SISTEMAS DE DESODORIZACIÓN;2021;2023;;218;VILLA DE VALLECAS;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;'40.33756827;'-3.5755459;9;MEDIO AMBIENTE;;5456003;345190;345190;;;6146383;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000215;COLECTOR DOBLADO DE VICÁLVARO. CONSTRUCCIÓN;2016;2022;;219;VICÁLVARO;Los Berrocales. Carretera M-203, Junto A La Ermita 40º23'11'' N 3º34'32''o;;Los Berrocales. Carretera M-203, Junto A La Ermita;;'40.386389;'-3.575556;9;MEDIO AMBIENTE;632563,97;10387373;3200000;;;;14219936,97;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000294;CALLE AYERBE. REMODELACIÓN URBANIZACIÓN;2021;2021;;221;BARAJAS;CALLE AYERBE;Calle;AYERBE;;'40.47234488;'-3.57624752;6;URBANISMO;;2350093;;;;;2350093;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000327;INTERSECCIONES C/ JOAQUÍN COSTA Y FRANCISCO SILVELA CON C/ LÓPEZ DE HOYOS. REURBANIZACIÓN;2021;2021;;205;CHAMARTÍN;C/ JOAQUÍN COSTA Y FRANCISCO SILVELA CON C/ LÓPEZ DE HOYOS;;C/ JOAQUÍN COSTA Y FRANCISCO SILVELA CON C/ LÓPEZ DE HOYOS;;'40.44055273870170;'-3.6806309837110600;6;URBANISMO;;10620000;;;;;10620000;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000344;NUEVA PLANTA DE MATERIA ORGÁNICA EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;2021;2022;;218;VILLA DE VALLECAS;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;Casco Histórico de Vallecas;;'40.336444;'-3.577083;9;MEDIO AMBIENTE;;21649207;12237323;;;;33886530;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;160;DESARROLLO URBANO;2006/000375;SISTEMAS DE COMPENSACIÓN. UZP 2-04 LOS BERROCALES;2008;2021;;219;VICÁLVARO;LOS BERROCALES;;LOS BERROCALES;;'40.3772222;'-3.579722222222220;6;URBANISMO;12971821,12;1870338;;;;;14842159,12;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000217;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ. SISTEMAS DE DESODORIZACIÓN BIOMETANIZACION;2020;2021;2021;218;VILLA DE VALLECAS;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ.;;'40.335761947903100;'-3.5836619918482700;9;MEDIO AMBIENTE;2715808,66;6402767;;;;;9118575,66;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2021/2021_2019-000217_LasDehesas.jpg;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000001;CENTRO DE TRATAMIENTO  LAS DEHESAS. SISTEMAS DE DESODORIZACIÓN;2021;2022;;218;VILLA DE VALLECAS;CENTRO DE TRATAMIENTO  LAS DEHESAS;;CENTRO DE TRATAMIENTO  LAS DEHESAS;;'40.33552477;'-3.58243889;9;MEDIO AMBIENTE;;1605000;4003350;;;;5608350;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;131;DEPORTE;2019/003146;UNIDADES DEPORTIVAS PARA LA PRÁCTICA DEL RUGBY EN VILLA DE VALLECAS. CONSTRUCCIÓN;2021;2021;;218;VILLA DE VALLECAS;Calle Eduardo Chillida C/V Calle Arte Hiperrealista;Calle;Eduardo Chillida C/V Calle Arte Hiperrealista;;'40.3597278;'-3.5890154;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;2984098;;;;;2984098;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000374;ENSANCHE DE VALLECAS. ACONDICIONAMIENTO DE CAMINOS Y ZONAS ESTANCIALES;2019;2022;;218;VILLA DE VALLECAS;Ensanche De Vallecas;Ensanche de;Ensanche de Vallecas;;'40.365205725985500;'-3.594149223122840;9;MEDIO AMBIENTE;17000;2799995;1000000;;;;3816995;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000321;ESCUELA INFANTIL EN EL DISTRITO DE VILLA DE VALLECAS. CONSTRUCCIÓN;2020;2022;;218;VILLA DE VALLECAS;Calle Embalse De Avenidaacerrada C/V Calleembalse De Pinilla;Calle;Embalse De Navacerrada C/V Calle embalse De Pinilla;;'40.359382;'-3.595714;5;EDUCACIÓN;17849,92;100000;3200000;;;;3317849,92;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000216;DRENAJE VÍA DE SERVICIO DE LA N-III A LA ALTURA DEL ENSANCHE DE VALLECAS;2016;2022;;219;VICÁLVARO;Ámbito Uzpp 2.04 Los Berrocales;;Ámbito Uzpp 2.04 Los Berrocales;;'40.37375603346770;'-3.5974301000917900;9;MEDIO AMBIENTE;42765,03;2647788;600000;;;;3290553,03;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;160;DESARROLLO URBANO;2021/000382;ÁMBITO CERRO ALMODÓVAR. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2021;;"219 (70%) - 
218 (30%)";VICÁLVARO - VILLA DE VALLECAS;CERRO ALMODÓVAR;;CERRO ALMODÓVAR;;'40.38316884;'-3.59843453;6;URBANISMO;;1500000;;;;;1500000;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000538;CENTRO DE SERVICIOS SOCIALES ENSANCHE DE VALLECAS. CONSTRUCCIÓN;2017;2021;;218;VILLA DE VALLECAS;Avenida Ensanche De Vallecas, 91;Avenida;Ensanche de Vallecas;91;'40.3624877;'-3.5997148;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1184731,08;5339032;;;;;6523763,08;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000390;CASA DE FAMILIA VILLA DE VALLECAS. CONSTRUCCIÓN;2021;2023;;218;VILLA DE VALLECAS;Avenida Ensanche, 91 C/V Fernando Chuecagoitia;Avenida;Ensanche, 91 C/V Fernando Chuecagoitia;;'40.36130898199510;'-3.5938878779498100;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;;230000;3000000;1100000;;;4330000;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";2018;2022;;221;BARAJAS;Paseo Alameda De Osuna, 25;Paseo;Alameda de Osuna;25;'40.4547855;'-3.6019412;10;CULTURA;2036229,89;686001;950000;;;;3672230,89;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000427;CENTRO CULTURAL EN VALDERRIVAS, C/ TITANIO. CONSTRUCCIÓN;2017;2022;;219;VICÁLVARO;Calle Titanio,5 C/V Ribas De Jarama;Calle;Titanio,5 C/V Ribas De Jarama;;'40.4021037;'-3.6037268;10;CULTURA;109881,52;5384625;3418806;;;;8913312,52;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000341;INSTALACIÓN DEPORTIVA ENSANCHE DE VALLECAS (PAU VALLECAS). CONSTRUCCIÓN;2017;2021;2021;218;VILLA DE VALLECAS;Calle josé Gutierrez Maroto 34 C/V Avenida Cerro Milano;Calle;Calle josé Gutierrez Maroto 34 C/V Avenida Cerro Milano;;'40.3632843;'-3.6075912;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;5300053,05;5187396;;;;;10487449,05;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2021/2021_2016-000341_EnsVallecas.jpg;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000388;CENTRO CULTURAL VALDEBEBAS. CONSTRUCCIÓN;2021;2023;;216;HORTALEZA;Avenida Manuel Fraga Iribarne, 125 C/V Jordi Sole Tura;Avenida;Manuel Fraga Iribarne, 125 C/V Jordi Sole Tura;;'40.4923517;'-3.6105398;10;CULTURA;;231000;2900000;1669000;;;4800000;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/003546;PARQUE DEL PARAÍSO. OBRAS DE ADECUACIÓN Y MEJORA (ID 18: 409);2020;2022;;220;SAN BLAS-CANILLEJAS;Avenida De Arcentales C/V Calle Albaida;Avenida de;De Arcentales C/V Calle Albaida;;'40.434248;'-3.612367;9;MEDIO AMBIENTE;11489,88;39995;2100000;;;;2151484,88;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000477;BASE DEL SAMUR C/ REAL DE ARGANDA, 64, VILLA DE VALLECAS. CONSTRUCCIÓN;2020;2021;;218;VILLA DE VALLECAS;Calle Real De Arganda, 64;Calle;Real de Arganda;64;'40.37932191622040;'-3.615120111812910;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;47954,51;2234723;;;;;2282677,51;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2019/000822;UNIDAD INTEGRAL DE POLICÍA MUNICIPAL VILLA DE VALLECAS. CONSTRUCCIÓN;2020;2023;;218;VILLA DE VALLECAS;Calle Real De Arganda, 64;Calle;Real de Arganda;64;'40.37928922449750;'-3.6150449923781500;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;24357,06;100000;5713413;513026;;;6350796,06;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000338;EDIFICIO A1 C/ARCOS JALÓN, 34. REHABILITACIÓN PARA CENTRO TECNOLOGÍAS INNOVACIÓN Y COMUNICACIÓN;2021;2021;;220;SAN BLAS-CANILLEJAS;Calle Arcos De Jalón 34 C/V. Calle Amposta;Calle;Arcos De Jalón 34 C/V. Calle Amposta;;'40.4219366;'-3.6212382;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;;2000000;;;;;2000000;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000597;CENTRO DE SERVICIOS SOCIALES EN SAN BLAS, C/POBLADURA DEL VALLE, 13. CONSTRUCCIÓN;2018;2021;;220;SAN BLAS-CANILLEJAS;Callepobladura Del Valle, 13;Calle;Pobladura del Valle;13;'40.4263129;'-3.6220081;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;401275,82;3649551;;;;;4050826,82;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;160;DESARROLLO URBANO;2020/007074;ÁMBITO CAMPO DE LAS NACIONES. EJECUCIÓN DEL BOSQUE METROPOLITANO;2020;2021;;216;HORTALEZA;CAMPO DE LAS NACIONES;;CAMPO DE LAS NACIONES;;'40.47025271;'-3.62537866;6;URBANISMO;1764746,12;1605614;;;;;3370360,12;EN PROCESO;;;14/02/2022
