Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado ;Importe 2023 (quito formato punto);Importe 2024;Importe 2025;Importe 2026;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000043;CASA DE VARGAS. REHABILITACIÓN CASA-PALACIO Y JARDÍN DE FELIPE II;2020;2025;;209;MONCLOA-ARAVACA;PASEO DEL EMBARCADERO, 2;PASEO DEL;DEL EMBARCADERO;2;404.191.125;-37.256.439;10;CULTURA;642131,32;99951,11;2500000;;;;3242082,43;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000419;PABELLÓN DE HEXÁGONOS CASA DE CAMPO. REHABILITACIÓN;2024;2025;;209;MONCLOA-ARAVACA;CALLE DE LOS HEXÁGONOS, 4;CALLE;DE LOS HEXÁGONOS;4;404.126.577;-37.442.902;10;CULTURA;;;2000000;1000000;;;3000000;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2021/000053;NAVE 15 MATADERO. OBRAS DE ACONDICIONAMIENTO;2022;2025;;202;ARGANZUELA;PLAZA DE LEGAZPI, 8;PLAZA;DE LEGAZPI;8;403.917.614.508.368;-36.963.276.163.896.600;10;CULTURA;38478;;90000;1810000;;;1938478;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2022/000541;MUSEO ARTE CONTEMPORÁNEO EN CONDE DUQUE. ACONDICIONAMIENTO NUEVAS SALAS.;2023;2023;;201;CENTRO;CALLE DEL CONDE DUQUE, 9;CALLE;DEL CONDE DUQUE;9;4.042.741.912.138.540;-37.107.288.317.298.100;10;CULTURA;;;;;;;0;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2022/001381;PUERTA DE ALCALÁ. OBRAS DE CONSERVACIÓN Y RESTAURACIÓN;2023;2023;2023;204;SALAMANCA;PLAZA DE LA INDEPENDENCIA, S/N;PLAZA;DE LA INDEPENDENCIA;S/N;4.042.019;-368.871;10;CULTURA;;2506694,18;;;;;2506694,18;FINALIZADO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2023/2023_2022-001381_PuertaAlcalá.jpg;05/01/2024
001;AYUNTAMIENTO;131;DEPORTE;2021/001117;DEPORTIVO BÁSICO LOS POBLADOS. ACONDICIONAMIENTO CAMPO DE FÚTBOL Y VESTUARIOS;2022;2023;2023;211;CARABANCHEL;AV.DE LOS POBLADOS,106;AVENIDA;DE LOS POBLADOS;106;4.037.376.874.611.190;-3.735.160.474.061.030;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;335401,6;970624,64;;;;;1306026,24;FINALIZADO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2023/2023_2021-001117_DeportivoBásicoPoblados.jpg;05/01/2024
001;AYUNTAMIENTO;131;DEPORTE;2021/001118;PARQUE PARA DEPORTES URBANOS EN EL DISTRITO VILLAVERDE. CONSTRUCCIÓN;2021;2023;2023;217;VILLAVERDE;Pº PLATA Y CASTAÑAR, 5;PASEO;PLATA Y CASTAÑAR;5;40.350.668;-3.721.161;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;45141,76;1976208,95;;;;;2021350,71;FINALIZADO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2023/2023_2021-001118_ParqueDeportesUrbanosVillaverde.jpg;05/01/2024
001;AYUNTAMIENTO;131;DEPORTE;2022/001481;DEPORTIVO BÁSICO PIQUEÑAS. ADECUACIÓN CAMPO DE FÚTBOL CÉSPED ARTIFICIAL Y VESTUARIOS;2022;2024;;211;CARABANCHEL;C/ PINAR DE SAN JOSÉ C/V. C/ DE LA TORTA;CALLE;DEL PINAR DE SAN JOSÉ;64;40.360.952;-3.768.519;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;5321,96;185321,96;1800000;;;;1990643,92;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;131;DEPORTE;2022/001482;DEPORTIVO BÁSICO SANTA RITA. ADECUACIÓN CAMPO DE FÚTBOL CÉSPED ARTIFICIAL Y VESTUARIOS;2022;2025;;211;CARABANCHEL;C/ ALBA DE TORMES, 2;CALLE;DE ALBA DE TORMES;2;40.379.236;-3.743.367;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;7471,37;297471,37;150000;1700000;;;2154942,74;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/000496;CARRIL BICI EJE PRADO-RECOLETOS-CASTELLANA TRAMO PLAZA CASTILLA-RAIMUNDO FERNANDEZ VILLAVERDE;2021;2023;2023;205 (50%) - 206 (50%);CHAMARTÍN - TETUÁN;"PASEO DE LA CASTELLANA, 112 AL 200, LADO PARES, DISTRITO DE CHAMARTÍN.
PASEO DE LA CASTELLANA, 71 AL 187, LADO IMPARES, DISTRITO DE TETUÁN.";PASEO;DE LA CASTELLANA;112 AL 200;4.044.689.407.084.400;-36.904.570.167.187.500;07;INFRAESTRUCTURAS;2681623,63;2024001,37;;;;;4705625;FINALIZADO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2023/2023_2021-000496_CarrilBiciPradoRecoletosCastellana.jpg;05/01/2024
