Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2022;Importe 2023;Importe 2024;Importe 2025;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos
1;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;2021;2023;;212;USERA;PASEO SANTA MARÍA DE LA CABEZA, 95;PASEO DE;SANTA MARÍA DE LA CABEZA;95;403.922.859;-37.089.303;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1.689.000,00;4700833;1700000;;;;8.089.833,00;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;2021;2023;;207;CHAMBERÍ;CALLE DE SANTA ENGRACIA 116, 118 Y 120;CALLE;SANTA ENGRACIA;116, 118, 120;4.044.038.738.649.960;-37.007.173.334.334.200;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;499.628,85;1890285;700000;;;;3.089.913,85;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;2021;2023;;202;ARGANZUELA;C/PLOMO, 14;CALLE;PLOMO;14;4.039.281.490.540.310;-3.689.732.618.094.450;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1.689.389,72;4332741;2500000;;;;8.522.130,72;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000418;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA;2022;2023;;209;MONCLOA-ARAVACA;RONDA DE LAS PROVINCIAS, 7;RONDA;DE LAS PRONVINCIAS;7;4.041.176.384.535.080;-3.743.862.787.553.560;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;825000;1000000;;;;1.825.000,00;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000420;UNIDAD INTEGRAL POLICÍA MUNICIPAL USERA. OBRAS DE SANEAMIENTO Y REFORMA DE VESTUARIOS;2022;2023;;212;USERA;C/DOCTOR TOLOSA LATOUR, 16;CALLE;DOCTOR TOLOSA LATOUR;16;403.759.435.930.581;-3.702.718.487.554.870;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;935000;635000;;;;1.570.000,00;EN PROCESO;Continúa ejecución en 2023 con Codigo de Proyecto 2023/000387;;23/02/2023
1;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000421;ESCUADRÓN POLICÍA MUNICIPAL. OBRAS DE REFORMA CANTINA;2022;2023;;209;MONCLOA-ARAVACA;CARRETERA DEL PARDO, 3;CARRETERA;DEL PARDO;3;4.047.745.229.980.590;-37.513.272.182.341.100;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;300000;1700000;;;;2.000.000,00;EN PROCESO;Continúa ejecución en 2023 con Codigo de Proyecto 2023/000384;;23/02/2023
1;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000425;PARQUE 9 BOMBEROS. OBRAS PARA INSTALACIÓN DE CAMPA PROVISIONAL;2022;2022;;208;FUENCARRAL-EL PARDO;AVENIDA MONFORTE DE LEMOS, 20;AVENIDA;MONFORTE DE LEMOS;20;4.048.022.515.029.220;-36.996.125.875.510.900;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;1540000;;;;;1.540.000,00;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000426;PARQUE DE BOMBEROS 9. OBRAS DE REFORMA INTEGRAL;2022;2023;;208;FUENCARRAL-EL PARDO;AVENIDA MONFORTE DE LEMOS, 20;AVENIDA;MONFORTE DE LEMOS;20;40.480.208.828.940.000;-369.961.258.755.109.000;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;300000;3000000;;;;3.300.000,00;EN PROCESO;Continúa ejecución en 2023 con Codigo de Proyecto 2023/000385;;23/02/2023
1;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";2018;2023;;221;BARAJAS;PASEO ALAMEDA DE OSUNA, 25;PASEO;ALAMEDA DE OSUNA;25;404.547.855;-36.019.412;10;CULTURA;2.076.545,99;2680000;1600000;;;;6.356.545,99;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2019/000527;MUSEO DE SAN ISIDRO. OBRAS ADECUACIÓN PARA SOSTENIBILIDAD;2021;2023;;201;CENTRO;PLAZA SAN ANDRÉS, 2;PLAZA;SAN ANDRÉS;2;404.120.708;-37.132.821;10;CULTURA;69.386,68;47619;1500000;;;;1.617.005,68;EN PROCESO;;;23/02/2023
